agency,subagency,prettyName,NameCombo,url,type,datasets
Alabama,,alabama-gen,Alabama,http://open.alabama.gov/,State,
Alaska,,alaska-gen,Alaska,http://catalog.data.gov/organization/state-of-alaska,State,371
Albuquerque,,albuquerque-gen,Albuquerque,http://www.cabq.gov/abq-data/,City/County,
Ann Arbor,,ann-arbor-gen,Ann Arbor,http://www.a2gov.org/data/,City/County,
Arctic Landscape Conservation Cooperative,,arctic-landscape-conservation-cooperative-gen,Arctic Landscape Conservation Cooperative,http://catalog.data.gov/organization/alcc-fws-gov,Federal,54
Arizona,,arizona-gen,Arizona,http://openbooks.az.gov/app/transparency/index.html,State,
Arizona,Arizona Geological Survey,arizona-arizona-geological-survey,Arizona - Arizona Geological Survey,http://catalog.data.gov/organization/azgs-az-gov,State,951
Arkansas,,arkansas-gen,Arkansas,http://catalog.data.gov/organization/arkansas-gov,State,360
Arvada,,arvada-gen,Arvada,http://arvada.org/opendata/,City/County,
Asheville,,asheville-gen,Asheville,http://opendatacatalog.ashevillenc.gov/,City/County,
Atlanta,,atlanta-gen,Atlanta,http://gis.atlantaga.gov/,City/County,
Austin,,austin-gen,Austin,http://data.austintexas.gov/,City/County,
Baltimore,,baltimore-gen,Baltimore,http://data.baltimorecity.gov/,City/County,
Belleville,,belleville-gen,Belleville,https://data.illinois.gov/belleville,City/County,
Boston,,boston-gen,Boston,https://data.cityofboston.gov/,City/County,
Boston,Boston Enterprise GIS,boston-boston-enterprise-gis,Boston - Boston Enterprise GIS,http://www.cityofboston.gov/maps/,City/County,
Broadcasting Board of Governors,,broadcasting-board-of-governors-gen,Broadcasting Board of Governors,http://catalog.data.gov/organization/bbg-gov,Federal,6
California,,california-gen,California,http://data.ca.gov/,State,
California,California Environmental Health Tracking Program,california-california-environmental-health-tracking-program,California - California Environmental Health Tracking Program,http://catalog.data.gov/organization/cdph-ca-gov,State,17
California,California Department of Resources,california-california-department-of-resources,California - California Department of Resources,http://catalog.data.gov/organization/resources-ca-gov,State,584
Champaign,,champaign-gen,Champaign,https://data.illinois.gov/champaign,City/County,
Chicago,,chicago-gen,Chicago,http://data.cityofchicago.org/,City/County,
City of Orem,,city-of-orem-gen,City of Orem,http://catalog.data.gov/organization/orem-org,City/County,1
Colorado,,colorado-gen,Colorado,http://www.colorado.gov/data/,State,
Colorado,Denver Regional Council,colorado-denver-regional-council,Colorado - Denver Regional Council,http://data.opencolorado.org/group/drcog,State,
Columbia University,Center for International Earth Science Information Network,columbia-university-center-for-international-earth-science-information-network,Columbia University - Center for International Earth Science Information Network,http://catalog.data.gov/organization/ciesin-columbia-edu,University/Institution,285
Commodity Futures Trading Commission,,commodity-futures-trading-commission-gen,Commodity Futures Trading Commission,http://catalog.data.gov/organization/cftc-gov,Federal,3
Connecticut,,connecticut-gen,Connecticut,http://transparency.ct.gov/html/main.asp,State,
Consumer Financial Protection Bureau,,consumer-financial-protection-bureau-gen,Consumer Financial Protection Bureau,http://catalog.data.gov/organization/cfpb-gov,Federal,1
Cook County,,cook-county-gen,Cook County,http://data.cookcountyil.gov/,City/County,
Cornell University,,cornell-university-gen,Cornell University,http://catalog.data.gov/organization/cornell-edu,University/Institution,1761
Corporation for National and Community Service,,corporation-for-national-and-community-service-gen,Corporation for National and Community Service,http://catalog.data.gov/organization/cns-gov,Federal,3
Court Services and Offender Supervision Agency,,court-services-and-offender-supervision-agency-gen,Court Services and Offender Supervision Agency,http://catalog.data.gov/organization/csosa-gov,Federal,1
Delaware,,delaware-gen,Delaware,http://www.delaware.gov/data/,State,
Denver,,denver-gen,Denver,http://data.denvergov.org/,City/County,
Department of Agriculture,Agricultural Marketing Service,department-of-agriculture-agricultural-marketing-service,Department of Agriculture - Agricultural Marketing Service,http://catalog.data.gov/organization/ams-usda-gov,Federal,60
Department of Agriculture,Agricultural Research Service,department-of-agriculture-agricultural-research-service,Department of Agriculture - Agricultural Research Service,http://catalog.data.gov/organization/ars-usda-gov,Federal,43
