agency,agencyAbbrev,agencyWithAbbrev,subagency,subagencyAbbrev,subWithAbbrev,prettyName,NameCombo,url,type,datasets
Alabama,AL,Alabama (AL),,,,alabama-gen,Alabama (AL),http://open.alabama.gov/,State,
Alaska,AK,Alaska (AK),,,,alaska-gen,Alaska (AK),http://catalog.data.gov/organization/state-of-alaska,State,371
Albuquerque,ABQ,Albuquerque (ABQ),,,,albuquerque-gen,Albuquerque (ABQ),http://www.cabq.gov/abq-data/,City/County,
Ann Arbor,AA,Ann Arbor (AA),,,,ann-arbor-gen,Ann Arbor (AA),http://www.a2gov.org/data/,City/County,
Arctic Landscape Conservation Cooperative,ALCC,Arctic Landscape Conservation Cooperative (ALCC),,,,arctic-landscape-conservation-cooperative-gen,Arctic Landscape Conservation Cooperative (ALCC),http://catalog.data.gov/organization/alcc-fws-gov,Federal,54
Arizona,AZ,Arizona (AZ),,,,arizona-gen,Arizona (AZ),http://openbooks.az.gov/app/transparency/index.html,State,
Arizona,AZ,Arizona (AZ),Arizona Geological Survey,AZGS,Arizona Geological Survey (AZGS),arizona-arizona-geological-survey,Arizona (AZ) - Arizona Geological Survey (AZGS),http://catalog.data.gov/organization/azgs-az-gov,State,951
Arkansas,AR,Arkansas (AR),,,,arkansas-gen,Arkansas (AR),http://catalog.data.gov/organization/arkansas-gov,State,360
Arvada,,Arvada,,,,arvada-gen,Arvada,http://arvada.org/opendata/,City/County,
Asheville,,Asheville,,,,asheville-gen,Asheville,http://opendatacatalog.ashevillenc.gov/,City/County,
Atlanta,ATL,Atlanta (ATL),,,,atlanta-gen,Atlanta (ATL),http://gis.atlantaga.gov/,City/County,
Austin,AUS,Austin (AUS),,,,austin-gen,Austin (AUS),http://data.austintexas.gov/,City/County,
Baltimore,BAL,Baltimore (BAL),,,,baltimore-gen,Baltimore (BAL),http://data.baltimorecity.gov/,City/County,
Belleville,BVW,Belleville (BVW),,,,belleville-gen,Belleville (BVW),https://data.illinois.gov/belleville,City/County,
Boston,BOS,Boston (BOS),,,,boston-gen,Boston (BOS),https://data.cityofboston.gov/,City/County,
Boston,BOS,Boston (BOS),Boston Enterprise GIS,,Boston Enterprise GIS,boston-boston-enterprise-gis,Boston (BOS) - Boston Enterprise GIS,http://www.cityofboston.gov/maps/,City/County,
