CompanyName,URL,city,STATE,abbrev,companyCategory,descriptionShort
Archimedes Inc.,http://archimedesmodel.com/,San Francisco,California, CA,Healthcare,"Archimedes is a healthcare modeling and analytics organization: It applies quantitative analysis to healthcare, using the best available evidence from clinical trials, epidemiological studies, and other high quality sources to create models that can be used by heatlch care decision makers to understand how the different options they face affect clinical outcomes and costs."
Azavea,azavea.com,Philadelphia,Pennsylvania, PA,Geospatial/Mapping,Azavea is an award-winning geospatial analysis (GIS) software development firm specializing in the creation of location-based web and mobile software as well as geospatial analysis services.
BillGuard,https://www.billguard.com,New York,New York,NY,Finance & Investment,BillGuard is a personal finance security company harnessing the collective knowledge of millions of consumers to protect Americans from fraud and grey charges.
BuildZoom,www.buildzoom.com,San Francisco,California,CA,Housing/Real Estate,BuildZoom takes the pain out of remodeling your home.
"Calcbench, Inc.",calcbench.com,New York,New York, NY,Finance & Investment,"With collaborative and crowd-sourced components, Calcbench allows financial analysts, accountants, lawyers and investors to instantly access, work with and share SEC filing data, all right on our web page at www.calcbench.com."
Captricity,captricity.com,Berkeley,California, CA,Data/Technology,"Captricity is a tech startup that has launched a completely self-serve data entry web service which extracts structured information, including handwriting, from paper forms."
Civinomics,civinomics.com,Santa Cruz,California, CA,Governance,Civinomics is an online platform that provides a platform where people can civically engage on issues that matter to them.
Climate Corporation,http://www.climate.com,San Francisco,California,CA,Environment & Weather,The Climate Corporation aims to help farmers around the world protect and improve their farming operations with uniquely powerful software and insurance products.
Construction Monitor LLC,www.constructionmonitor.com,Cedar City,Utah,UT,Housing/Real Estate,"Construction Monitor provides the most timely, detailed and accurate building permit information available, delivering this information using state of the art technologies to continuously improve our work processes to satisfy our internal and external stakeholders."
Consumer Reports,www.consumerreports.org,Yonkers,,,Lifestyle & Consumer,"Consumer Reports is an expert, independent, nonprofit organization whose mission is to work for a fair, just, and safe marketplace for all consumers and to empower consumers to protect themselves."
"Energy Points, Inc.",energypoints.com,Boston,Massachusetts,MA,Energy,"Energy Points uses a unifying metric, big data and comprehensive analytics to manage enterprise energy resources, such as electricity, fuels, water, and materials."
Energy Solutions Forum,energysolforum.com,New York,New York,NY,Energy,Energy Solutions Forum provides the energy industry with U.S. energy and environmental policy information to support growth of domestic energy markets.
Enigma.io,enigma.oi,New York,New York,NY,Data/Technology,"By harmonizing and indexing the world's public data, Engima empowers professionals to discover hidden facts and connections like never before."
Esri,esri.com,Redlands,California,CA,Geospatial/Mapping,Esri is the world leader in geographic information systems and has a long history of using open data.
FarmLogs,farmlogs.com,Ann Arbor,Michigan,MI,Food & Agriculture,"FarmLogs is the best way for farmers to forecast and measure profits, track expenses, manage risk, and get informed all from one place."
Acxiom,http://acxiom.com,Little Rock,Arkansas,AR,Data/Technology,"Acxiom is an enterprise data, analytics and software-as-a-service company,  using data to connect people, businesses and their partners."
Chubb,http://www.chubb.com,Warren,New Jersey,NJ,Insurance,Chubb offers property and casualty insurance.
Fastcase,fastcase.com,Washington,District of Columbia,DC,Business & Legal Services,"Fastcase puts the whole American law library on the desktop -- providing online access to millions of cases, statutes, and regulations, and at a fraction of the cost of existing alternatives."
GreatSchools,greatschools.org,San Francisco,California,CA,Education,"GreatSchools is the leading independent source of preK-12 school performance information, with profiles of 200,000 public, public charter, and private schools."
"HDScores, Inc",http://hdscores.com,Baltimore,Maryland,MD,Data/Technology,"HDScores makes restaurant inspection data consumable for our clients in an easy to read, search and understand format."
Healthgrades,http://www.healthgrades.com/,"Denver, CO",Colorado,CO,Healthcare,"Founded in 1998 and headquartered in Denver, Healthgrades is the leading online resource for comprehensive information about physicians and hospitals."
"HealthPocket, Inc.",http://www.healthpocket.com,Sunnyvale,California,CA,Healthcare,A free customer advocacy website that allows consumers to compare and rank health plans in their area.
HelloWallet,http://www.hellowallet.com/,Washington,District of Columbia,DC,Finance & Investment,HelloWallet improves the performance of organizations by providing independent guidance that aligns corporate spending with human capital needs.
iTriage,itriagehealth.com,Denver,Colorado,CO,Healthcare,iTriage is a free mobile app and website that helps people make better health care decisions and take charge of their health.
Lawdragon,lawdragon.com,New York,New York,NY,Business & Legal Services,Lawdragon provides legal news and information about lawyers and law schools to consumers and others who need high-quality information to make informed choices.
"LegiNation, Inc.",LegiNation.com,Los Angeles,California,CA,Governance,"LegiNation, Inc. was founded with the goal of making state level legislation more readily available to the professionals who need it, and even more importantly to the public at large."
Lucid,http://www.luciddesigngroup.com,Oakland,California,CA,Energy,Lucid provides revolutionary energy management tools for commercial buildings.
MapBox,mapbox.com,Washington,District of Columbia,DC,Geospatial/Mapping,MapBox is an open source platform for designing and publishing maps and geo data for both mobile and on the web.
Mercaris,http://www.mercariscompany.com,Silver Spring,Maryland,MD,Food & Agriculture,"Mercaris provides critical market data and on-line trading for organic, non-GMO, and other identity-preserved agricultural commodities and ingredients."
New Media Parents,http://mommaps.com/,San Francisco,California,CA,Geospatial/Mapping,"Mom Maps helps you find kid friendly locations on the go! Search an extensive list of parks, playgrounds, restaurants, museums and indoor play areas."
"Ontodia, Inc",ontodia.com,New York,New York,NY,Data/Technology,"Ontodia converts raw data to actionable, hyperlocalized knowledge, enabling data-driven decisions and conversations. From big data to small, actionable knowledge."
"OpportunitySpace, Inc.",opportunityspace.org,Boston,Massachusetts,MA,Housing/Real Estate,OpportunitySpace engages communities with open data to drive smart uses for public land.
Overture Technologies,http://www.overturecorp.com/,Bethesda,Maryland,MD,Data/Technology,"Overture's technology powers business rules and automated underwriting applications for higher education, mortgage and small business finance industries."
Owler,owler.com,San Mateo,California,CA,Business & Legal Services,"Owler is a mobile and online resource that helps you follow, track, and research companies."
Panjiva,www.panjiva.com,New York,New York,NY,Business & Legal Services,"Panjiva is the leading provider of intelligence to global trade professionals, enabling businesses to connect across borders."
"Personal, Inc.",personal.com,Washington,District of Columbia,DC,Data/Technology,"Personal provides individuals with the tools to create a private, personal network where they can control their identity and determine access to their data when connecting with people and companies."
PolicyMap,policymap.com,Philadelphia,Pennsylvania,PA,Geospatial/Mapping,"PolicyMap is a fully web-based Geographic Information System and mapping company that captures data in visually powerful ways through  its analysis tool, Analytics; available data includes demographics, home sale statistics, health data, mortgage trends, school performance scores and labor data like unemployment, crime statistics and city crime rates."
Quertle,quertle.com,Henderson,Nevada,NV,Scientific Research,"Quertle is an information technology company that provides an award-winning, easy to use, powerful search engine for scholarly literature."
Science Exchange,scienceexchange.com,Palo Alto,California,CA,Scientific Research,"Science Exchange's goal is to make it easier for researchers to access the world's scientific expertise, advancing open science initiatives to change the pace of scientific research."
SeeClickFix,en.seeclickfix.com,New Haven,Connecticut,CT,Governance,"SeeClickFix allows anyone to report and track non-emergency issues anywhere in the world via the internet, empowering citizens, community groups, media organizations and governments to take care of and improve their neighborhoods."
Simple Energy,http://simpleenergy.com,Boulder,Colorado,CO,Energy,"Simple Energy leverages energy data analytics, individualized messaging, and leading behavioral science to motivate customers to take the actions their utilities value most."
Socrata,www.socrata.com,Seattle,Washington,WA,Governance,Socrata's mission is to connect people to the government data they need and want.
SolarList,solarlist.com,Brooklyn,New York,NY,Energy,SolarList helps people go solar.
SpotCrime,www.spotcrime.com,Baltimore,Maryland,MD,Governance,SpotCrime is the most comprehensive online source of crime information.
Stormpulse,http://stormpulse.com/,Austin,Texas,TX,Environment & Weather,"Stormpulse offers Riskpulse, a suite of risk management solutions for businesses affected by uncontrollable events."
"StreetCred Software, Inc",streetcredsoftware.com,Southlake,Texas,TX,Governance,"StreetCred is a software-as-a-service offering created by police officers who understand how police officers use information, data and leads."
Symcat,http://www.symcat.com/,Baltimore,Maryland,MD,Healthcare,Symcat uses a broad array of medical data to allow users to intelligently check their symptoms against potential diagnoses and plan medical care if necessary.
Synthicity,http://www.synthicity.com/,Berkely,California,CA,Housing/Real Estate,Synthicity builds easy-to-use tools and provides custom solutions to help answer difficult urban development questions.
TagniFi,tagnifi.com,Tampa,Florida,FL,Finance & Investment,"TagniFi is building a better financial database for leading investment, research and content organizations using a collection process that results in more timely, cleaner and consistent data."
Trulia,trulia.com,San Francisco,California,CA,Housing/Real Estate,"Trulia gives home buyers, sellers, owners and renters the inside scoop on properties, places and real estate professionals."
Walk Score,www.walkscore.com,Seattle,Washington,WA,Lifestyle & Consumer,"Walk Score's mission is to promote walkable neighborhoods. Walkable neighborhoods are one of the simplest and best solutions for the environment, our health, and our economy."
