company_name_id,company_name,url,city,state,zip_code,ceo_first_name,ceo_last_name,year_founded,full_time_employees,company_type,company_category,revenue_source,description,description_short,financial_info,source_count,data_comments,dataset_wishlist,confidentiality,ts,survey_submitted,vetted,locked,vettedByCompany,display,notes
1099Is,1099.is,http://1099.is,New York,NY,,Craig,Shapiro,1980,0,Public,Finance & Investment,Data Management and Analytic Services,"Working for yourself has different tax implications than the standard, employer-facilitated W-2 filing. The self-employed are at greater risk of an IRS audit, making accurate filing critical. Expenses, deductions and self-employment tax – all factor into determining how much is owed on every April 15th.  The tax code for the self-employed is confusing and inaccessible. 1099.is provides advice from experts and people who have been through this before in transparent, clear, simple language. 1099.is’s goal is to consolidate this information into one central resource to make it easy for anyone on any platform to find help.","1099.is helps people navigate the confusing tax code that applies to the self-employed, providing expert advice in transparent, simple language.",,1-10,,,,2013-12-15 15:28:20.677000,True,False,False,True,False,
1800Recyclingcom,1800Recycling.com,http://1800recycling.com,Fresno,CA,93711,,,0,0,Public,Environment & Weather,,"1-800-RECYCLING.com is a dynamic recycling and green living-focused website that makes recycling, conserving, reusing and living wisely easy.  1-800-RECYCLING.com features a comprehensive recycling location database that gives the user the ability to easily assemble a recycling to-do list. The database is location based, and aims to make your recycling needs as easy as possible, whether you’re clearing out the house during spring cleaning or simply looking to recycle a few shopping bags.",This company is a search engine for recycling locations.,,,,,,2013-12-15 15:28:20.700000,False,False,False,False,False,
3-Round-Stones-Inc,"3 Round Stones, Inc.",3RoundStones.com,Washington,DC,20004,Bernadette,Hyland,2010,4,Private,Data/Technology,"Data Management and Analytic Services, Subscriptions","3 Round Stones produces a platform for publishing data on the Web. 3 Round Stones provides commercial support for the Callimachus Data Platform, used by the Fortune 2000 and US Government Agencies publishing and consuming data.  Headquartered in Arlington, Virginia, we're seasoned entrepreneurs who are passionate about solving real world problems through open data and open Web standards.","Our Open Source platform is used by the Fortune2000 and US Government Agencies to collect, publish and reuse data, both public and proprietary.","3 Round Stones is a profitable, self-funded, woman-owned start-up.  Our team has several successful serial entrepreneurs.  As entrepreneurs, we've benefited from the valuable guidance by seasoned advisers and mentors in the mid-Atlantic region who have guided our team through multiple start-ups, outside funding and an acquisition by a Fortune 100 company in 2005.",NA,,"The formats and custom APIs make it cumbersome for developers to re-use content meaningfully.  Often, the context, license and data model for the data are missing.  More assistance to publish according to Web Best Practices for structured data need to be defined, communicated and implemented by Government Agencies and contractors.",,2013-12-15 15:27:46.116000,True,True,True,True,True,
5Psolutions,5PSolutions,www.5psolutions.com,Fairfax,VA,22003,Harjit,Singh,2007,2,Private,Data/Technology,"Subscriptions, User Fees for Web or Mobile Access","At 5PSolutions, we wish to make all basic information of different categories easily available to via tablets or phones.",5PSolutions are artisans of mobile platforms.,,NA,,,,2014-01-05 01:42:01.942000,True,True,False,True,True,
Abt-Associates,Abt Associates,abtassoc.com,Cambridge,MA,02138,Kathleen,Flanagan,1965,2500,Private,Research & Consulting,Data Management and Analytic Services,"Abt Associates is a mission-driven, international company conducting research and program implementation in the fields of health, social and environmental policy, and international development. The company has multiple offices in the U.S. and program offices in more than 40 countries.","Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.",Employee-owned company. $552M/year.,100+,,"Linkages among location-based records from different federal/open data sources for which there is a federal/public interest.
Open use corporate linkages to ultimate US parents.",,2013-12-15 15:27:46.253000,True,True,True,True,True,
Accela,Accela,http://www.accela.com,San Ramon,CA,94583,,,0,0,Private,Governance,Not reported by company,"Today, Accela powers thousands of services and millions of transactions for more than 500 public agencies worldwide, enabling governments to connect with citizens and streamline processes related to land management, asset management, licensing, and public health & safety. It is fair to say we have a heritage and a tradition of powering civic excellence.  Accela addresses a broad range of agency, business and citizen needs, and includes built-in payment, scheduling, compliance and information transparency. Together with our partners, Accela can custom-tailor solutions based on precise agency specifications, or deploy packaged solutions based on best practice templates and pre-defined services in a matter of a few weeks.","Accela improves citizen engagement by making it easier to do government business, driving civic innovation and improving transparency, accuracy and accountability.",,100+,,,,2013-12-15 15:28:20.725000,False,False,False,False,True,
Accelrys,Accelrys,http://accelrys.com,San Diego,CA,92121,,,0,0,,Scientific Research,Not reported by company,"Accelrys is a leading provider of scientific innovation lifecycle management software and services. By bridging the productivity gap between innovation and commercialization, scientific innovation lifecycle management (SILM) streamlines product development, speeds time-to-market and improves competitiveness for science-driven organizations in the pharmaceutical, biotechnology, chemical, energy, aerospace, consumer packaged goods and industrial products industries, as well as in government and academia.","Accelrys enables innovators to organize and share data with the goal of improving productivity and compliance, reducing costs and speeding time from lab to market.",,100+,,,,2013-12-15 15:28:20.748000,False,False,False,False,True,
Accenture,Accenture,http://www.accenture.com/us-en/pages/index.aspx,Phoenix,AZ,85018,,,0,275000,Private,Data/Technology,Not reported by company,"Accenture delivers its services and solutions through 19 focused industry groups in five operating groups. This industry focus provides Accenture’s professionals with a thorough understanding of industry evolution, business issues and applicable technologies, enabling Accenture to deliver solutions tailored to each client's industry.","Accenture describes itself as a leader in providing management consulting, technology and outsourcing services.",,NA,,,,2013-12-15 15:28:20.772000,False,False,False,False,True,
Accuweather,AccuWeather,http://www.accuweather.com,State College,PA,16801,,,1962,404,Private,Environment & Weather,Subscriptions,"We provide local forecasts for everywhere in the United States and over two million locations worldwide. We also provide our products and services to more than 175,000 paying customers in media, business, government and institutions. Our headquarters in State College, PA, is home to the greatest number of forecast meteorologists in one location anywhere in the world.","AccuWeather describes its mission as helping to save lives, protect property, and helping people to prosper through weather information.",,NA,,,,2013-12-15 15:28:20.794000,False,False,False,True,True,
Acxiom,Acxiom,http://acxiom.com,Little Rock,AR,72201,,,0,0,,Data/Technology,Not reported by company,"Acxiom is an enterprise data, analytics and software as a service company. For more than 40 years, Acxiom has harnessed the powerful potential of data to strengthen connections between people, businesses and their partners.","Acxiom is an enterprise data, analytics and software-as-a-service company,  using data to connect people, businesses and their partners.",,100+,,,,2013-12-15 15:28:20.819000,False,False,False,False,True,
