CompanyName,URL,city,STATE,abbrev,zipCode,ceoFirstName,ceoLastName,companyPreviousName,yearFounded,FTE,companyType,companyCategory,companyFunction,sectors,revenueSource,descriptionLong,descriptionShort,socialImpact,financialInfo,criticalDataTypes,datasetName,datasetURL,agencyOrDatasetSource,DATASETS
Archimedes Inc.,http://archimedesmodel.com/,San Francisco,California, CA,94105,John,Beasley,,2006,50,Private,Healthcare,Data management and analysis,Health and Health Care,Software licensing,"Archimedes is a healthcare modeling and analytics organization. With the Archimedes Model at its core, the company enables people to combine real-world healthcare data and simulation data to create compelling and actionable evidence used in individual healthcare decision making, as well as in populations, with applications in health and economic outcomes research, policy creation, and clinical trial design and operations.","Archimedes is a healthcare modeling and analytics organization: It applies quantitative analysis to healthcare, using the best available evidence from clinical trials, epidemiological studies, and other high quality sources to create models that can be used by heatlch care decision makers to understand how the different options they face affect clinical outcomes and costs.","Archimedes solutions help make better decisions about health and healthcare, whether for individuals or populations.",Not answered by company,Federal Open Data,National Health and Nutrition Examination Survey (NHANES),http://www.cdc.gov/nchs/nhanes.htm,Centers for Disease Control and Prevention (CDC) ,4
Archimedes Inc.,http://archimedesmodel.com/,San Francisco,California, CA,94105,John,Beasley,,2006,50,Private,Healthcare,Data management and analysis,Health and Health Care,Software licensing,"Archimedes is a healthcare modeling and analytics organization. With the Archimedes Model at its core, the company enables people to combine real-world healthcare data and simulation data to create compelling and actionable evidence used in individual healthcare decision making, as well as in populations, with applications in health and economic outcomes research, policy creation, and clinical trial design and operations.","Archimedes is a healthcare modeling and analytics organization: It applies quantitative analysis to healthcare, using the best available evidence from clinical trials, epidemiological studies, and other high quality sources to create models that can be used by heatlch care decision makers to understand how the different options they face affect clinical outcomes and costs.","Archimedes solutions help make better decisions about health and healthcare, whether for individuals or populations.",Not answered by company,Federal Open Data,National Ambulatory Medical Care Survey (NAMCS),http://www.cdc.gov/nchs/ahcd.htm,Centers for Disease Control and Prevention (CDC),4
Archimedes Inc.,http://archimedesmodel.com/,San Francisco,California, CA,94105,John,Beasley,,2006,50,Private,Healthcare,Data management and analysis,Health and Health Care,Software licensing,"Archimedes is a healthcare modeling and analytics organization. With the Archimedes Model at its core, the company enables people to combine real-world healthcare data and simulation data to create compelling and actionable evidence used in individual healthcare decision making, as well as in populations, with applications in health and economic outcomes research, policy creation, and clinical trial design and operations.","Archimedes is a healthcare modeling and analytics organization: It applies quantitative analysis to healthcare, using the best available evidence from clinical trials, epidemiological studies, and other high quality sources to create models that can be used by heatlch care decision makers to understand how the different options they face affect clinical outcomes and costs.","Archimedes solutions help make better decisions about health and healthcare, whether for individuals or populations.",Not answered by company,Federal Open Data,National Hospital Discharge Survey (NHDS),http://www.cdc.gov/nchs/nhds.htm,Centers for Disease Control and Prevention (CDC),4
Archimedes Inc.,http://archimedesmodel.com/,San Francisco,California, CA,94105,John,Beasley,,2006,50,Private,Healthcare,Data management and analysis,Health and Health Care,Software licensing,"Archimedes is a healthcare modeling and analytics organization. With the Archimedes Model at its core, the company enables people to combine real-world healthcare data and simulation data to create compelling and actionable evidence used in individual healthcare decision making, as well as in populations, with applications in health and economic outcomes research, policy creation, and clinical trial design and operations.","Archimedes is a healthcare modeling and analytics organization: It applies quantitative analysis to healthcare, using the best available evidence from clinical trials, epidemiological studies, and other high quality sources to create models that can be used by heatlch care decision makers to understand how the different options they face affect clinical outcomes and costs.","Archimedes solutions help make better decisions about health and healthcare, whether for individuals or populations.",Not answered by company,Federal Open Data,Compressed Mortality File (CMF),http://www.cdc.gov/nchs/data_access/cmf.htm,Centers for Disease Control and Prevention (CDC),4
Azavea,azavea.com,Philadelphia,Pennsylvania, PA,19107,Robert,Cheetham,Avencia (from 2000 to 2010),2000,32,Private,Geospatial/Mapping,Data management and analysis,"Agriculture, Arts,  Entertainment,  & Recreation, Crime, Education, Energy, Environmental,  Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Scientific Research, Social Assistance, Transportation, Other","Subscriptions, Software licensing","Azavea is an award-winning geospatial software company based in Philadelphia.  The firm was organized to create advanced web and mobile applications for geospatial data visualization and analysis.  Azavea is a certified B Corporation, a for-profit corporation with a social mission.  Our mission is to apply geospatial data and software to create more sustainable, vital, and livable communities while advancing the state-of-the-art through research.  

Geospatial data has become a vital part of the operations of local, state, and federal government, driving everything from emergency response to land conservation.  Azavea applies user interface (UI) design and cloud computing to create web applications that can process big geospatial data sets very rapidly.  We also share much of our work by releasing it under open source licenses so that others can re-use it.  

In addition to working with open geospatial datasets from a variety of federal and local sources, Azavea is dedicated to making that data available to others for transformation into creative new applications.  Azavea's vision is a world in which geospatial analysis is part of a broad foundation upon which government, private, and nonprofit organizations operate for the common good by exchanging information, enhancing knowledge, and fostering collaboration.",Azavea is an award-winning geospatial analysis (GIS) software development firm specializing in the creation of location-based web and mobile software as well as geospatial analysis services.,"First, we focus on projects that have positive civic and social impact.  Second, Azavea shares its commercial success through pro bono work, mentoring programs, organizing civic hackathons, and by donating a portion of its profits to charitable organizations.  Third, many of our software projects are released under open source licenses.","Azavea is a bootstrap company that does not have any external investors.  The firm has grown by reinvesting its profits in growth, product development, and research projects that combine user interface design with geospatial analysis and apply high performance computing techniques to geographic data processing.  While the firm initially grew in Philadelphia, for the past eight years, it has diversified to serve both national and international customers.",Federal Open Data,,,"Local City Council Districts for 100+ Cities in North America, Western Europe and Oceania",5
Azavea,azavea.com,Philadelphia,Pennsylvania, PA,19107,Robert,Cheetham,Avencia (from 2000 to 2010),2000,32,Private,Geospatial/Mapping,Data management and analysis,"Agriculture, Arts,  Entertainment,  & Recreation, Crime, Education, Energy, Environmental,  Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Scientific Research, Social Assistance, Transportation, Other","Subscriptions, Software licensing","Azavea is an award-winning geospatial software company based in Philadelphia.  The firm was organized to create advanced web and mobile applications for geospatial data visualization and analysis.  Azavea is a certified B Corporation, a for-profit corporation with a social mission.  Our mission is to apply geospatial data and software to create more sustainable, vital, and livable communities while advancing the state-of-the-art through research.  

Geospatial data has become a vital part of the operations of local, state, and federal government, driving everything from emergency response to land conservation.  Azavea applies user interface (UI) design and cloud computing to create web applications that can process big geospatial data sets very rapidly.  We also share much of our work by releasing it under open source licenses so that others can re-use it.  

In addition to working with open geospatial datasets from a variety of federal and local sources, Azavea is dedicated to making that data available to others for transformation into creative new applications.  Azavea's vision is a world in which geospatial analysis is part of a broad foundation upon which government, private, and nonprofit organizations operate for the common good by exchanging information, enhancing knowledge, and fostering collaboration.",Azavea is an award-winning geospatial analysis (GIS) software development firm specializing in the creation of location-based web and mobile software as well as geospatial analysis services.,"First, we focus on projects that have positive civic and social impact.  Second, Azavea shares its commercial success through pro bono work, mentoring programs, organizing civic hackathons, and by donating a portion of its profits to charitable organizations.  Third, many of our software projects are released under open source licenses.","Azavea is a bootstrap company that does not have any external investors.  The firm has grown by reinvesting its profits in growth, product development, and research projects that combine user interface design with geospatial analysis and apply high performance computing techniques to geographic data processing.  While the firm initially grew in Philadelphia, for the past eight years, it has diversified to serve both national and international customers.",Federal Open Data,,,"State Legislative Districts for States in North America, Western Europe and Oceania",5
Azavea,azavea.com,Philadelphia,Pennsylvania, PA,19107,Robert,Cheetham,Avencia (from 2000 to 2010),2000,32,Private,Geospatial/Mapping,Data management and analysis,"Agriculture, Arts,  Entertainment,  & Recreation, Crime, Education, Energy, Environmental,  Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Scientific Research, Social Assistance, Transportation, Other","Subscriptions, Software licensing","Azavea is an award-winning geospatial software company based in Philadelphia.  The firm was organized to create advanced web and mobile applications for geospatial data visualization and analysis.  Azavea is a certified B Corporation, a for-profit corporation with a social mission.  Our mission is to apply geospatial data and software to create more sustainable, vital, and livable communities while advancing the state-of-the-art through research.  

Geospatial data has become a vital part of the operations of local, state, and federal government, driving everything from emergency response to land conservation.  Azavea applies user interface (UI) design and cloud computing to create web applications that can process big geospatial data sets very rapidly.  We also share much of our work by releasing it under open source licenses so that others can re-use it.  

In addition to working with open geospatial datasets from a variety of federal and local sources, Azavea is dedicated to making that data available to others for transformation into creative new applications.  Azavea's vision is a world in which geospatial analysis is part of a broad foundation upon which government, private, and nonprofit organizations operate for the common good by exchanging information, enhancing knowledge, and fostering collaboration.",Azavea is an award-winning geospatial analysis (GIS) software development firm specializing in the creation of location-based web and mobile software as well as geospatial analysis services.,"First, we focus on projects that have positive civic and social impact.  Second, Azavea shares its commercial success through pro bono work, mentoring programs, organizing civic hackathons, and by donating a portion of its profits to charitable organizations.  Third, many of our software projects are released under open source licenses.","Azavea is a bootstrap company that does not have any external investors.  The firm has grown by reinvesting its profits in growth, product development, and research projects that combine user interface design with geospatial analysis and apply high performance computing techniques to geographic data processing.  While the firm initially grew in Philadelphia, for the past eight years, it has diversified to serve both national and international customers.",Federal Open Data,,,"National Legislative Districts for States in North America, Western Europe and Oceania",5
Azavea,azavea.com,Philadelphia,Pennsylvania, PA,19107,Robert,Cheetham,Avencia (from 2000 to 2010),2000,32,Private,Geospatial/Mapping,Data management and analysis,"Agriculture, Arts,  Entertainment,  & Recreation, Crime, Education, Energy, Environmental,  Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Scientific Research, Social Assistance, Transportation, Other","Subscriptions, Software licensing","Azavea is an award-winning geospatial software company based in Philadelphia.  The firm was organized to create advanced web and mobile applications for geospatial data visualization and analysis.  Azavea is a certified B Corporation, a for-profit corporation with a social mission.  Our mission is to apply geospatial data and software to create more sustainable, vital, and livable communities while advancing the state-of-the-art through research.  

Geospatial data has become a vital part of the operations of local, state, and federal government, driving everything from emergency response to land conservation.  Azavea applies user interface (UI) design and cloud computing to create web applications that can process big geospatial data sets very rapidly.  We also share much of our work by releasing it under open source licenses so that others can re-use it.  

In addition to working with open geospatial datasets from a variety of federal and local sources, Azavea is dedicated to making that data available to others for transformation into creative new applications.  Azavea's vision is a world in which geospatial analysis is part of a broad foundation upon which government, private, and nonprofit organizations operate for the common good by exchanging information, enhancing knowledge, and fostering collaboration.",Azavea is an award-winning geospatial analysis (GIS) software development firm specializing in the creation of location-based web and mobile software as well as geospatial analysis services.,"First, we focus on projects that have positive civic and social impact.  Second, Azavea shares its commercial success through pro bono work, mentoring programs, organizing civic hackathons, and by donating a portion of its profits to charitable organizations.  Third, many of our software projects are released under open source licenses.","Azavea is a bootstrap company that does not have any external investors.  The firm has grown by reinvesting its profits in growth, product development, and research projects that combine user interface design with geospatial analysis and apply high performance computing techniques to geographic data processing.  While the firm initially grew in Philadelphia, for the past eight years, it has diversified to serve both national and international customers.",Federal Open Data,American Community Survey (ACS),http://www.census.gov/acs/www/data_documentation/summary_file/,US Census Bureau,5
Azavea,azavea.com,Philadelphia,Pennsylvania, PA,19107,Robert,Cheetham,Avencia (from 2000 to 2010),2000,32,Private,Geospatial/Mapping,Data management and analysis,"Agriculture, Arts,  Entertainment,  & Recreation, Crime, Education, Energy, Environmental,  Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Scientific Research, Social Assistance, Transportation, Other","Subscriptions, Software licensing","Azavea is an award-winning geospatial software company based in Philadelphia.  The firm was organized to create advanced web and mobile applications for geospatial data visualization and analysis.  Azavea is a certified B Corporation, a for-profit corporation with a social mission.  Our mission is to apply geospatial data and software to create more sustainable, vital, and livable communities while advancing the state-of-the-art through research.  

Geospatial data has become a vital part of the operations of local, state, and federal government, driving everything from emergency response to land conservation.  Azavea applies user interface (UI) design and cloud computing to create web applications that can process big geospatial data sets very rapidly.  We also share much of our work by releasing it under open source licenses so that others can re-use it.  

In addition to working with open geospatial datasets from a variety of federal and local sources, Azavea is dedicated to making that data available to others for transformation into creative new applications.  Azavea's vision is a world in which geospatial analysis is part of a broad foundation upon which government, private, and nonprofit organizations operate for the common good by exchanging information, enhancing knowledge, and fostering collaboration.",Azavea is an award-winning geospatial analysis (GIS) software development firm specializing in the creation of location-based web and mobile software as well as geospatial analysis services.,"First, we focus on projects that have positive civic and social impact.  Second, Azavea shares its commercial success through pro bono work, mentoring programs, organizing civic hackathons, and by donating a portion of its profits to charitable organizations.  Third, many of our software projects are released under open source licenses.","Azavea is a bootstrap company that does not have any external investors.  The firm has grown by reinvesting its profits in growth, product development, and research projects that combine user interface design with geospatial analysis and apply high performance computing techniques to geographic data processing.  While the firm initially grew in Philadelphia, for the past eight years, it has diversified to serve both national and international customers.",Federal Open Data,National Elevation Dataset (NED),http://ned.usgs.gov/,US Geological Survey (USGS),5
BillGuard,https://www.billguard.com,New York,New York,NY,11036,Yaron,Samid,CrowdSpot,2010,23,Private,Finance & Investment,Consumer services (eg health care),Finance,User fees for web or mobile access,"BillGuard's mission is to use data to save people money. We developed advanced crowdsourcing technology to collect and analyze billing dispute data from millions of consumers in order to extract patterns of fraud and ""Grey Charges"". We use these analytics to monitor our user's credit and debit card statements, alerting them to similar charges on their cards and helping them get their money back. American consumers lose over $14 Billion a year to legal grey charges which result from misleading sales and billing practices.",BillGuard is a personal finance security company harnessing the collective knowledge of millions of consumers to protect Americans from fraud and grey charges.,BillGuard monitors the dollar amount of the fraud and grey charges we have identified for our users.,"We have raised $13M to date from Google chairman Eric Schmidt, PayPal founder Peter Thiel, legendary VC Vinod Khosla, Bessemer Venture Partners, IA Venture Partners and others.  We are still a pre-revenue startup. We plan to generate revenue by certifying trusted merchants with our crowd-powered data.",Private/Proprietary Data Sources,CFPB Credit Card Complaint Database,https://data.consumerfinance.gov/dataset/Credit-card-complaint-responses-by-issue/3jqb-9gp3,,1
