agency_name,agency_abbrev,agency_type,subagency_name,subagency_abbrev,url,used_by,used_by_category,used_by_fte,dataset_name,dataset_url
Human Services,,Federal,Department of Human Services,,http://www.humanservices.gov.au/,Omnilink,Geospatial/Mapping,11-50,,
Human Services,,Federal,Department of Human Services,,http://www.humanservices.gov.au/,Australian Medical Association (AMA) - Federal,Healthcare,11-50,,
Agriculture,,Federal,General,,,Southern New England Landcare,Environment & Weather,1-10,ABARE,
Agriculture,,Federal,General,,,Southern New England Landcare,Environment & Weather,1-10,environment,
Agriculture,,Federal,General,,,Southern New England Landcare,Environment & Weather,1-10,Mapping,
Agriculture,,Federal,General,,,Southern New England Landcare,Environment & Weather,1-10,OEH threatened species,
Agriculture,,Federal,General,,,Solais Geoinformatics Pty Ltd,Geospatial/Mapping,1-10,ABARES,
Agriculture,,Federal,General,,,SmartCast Pty Ltd (trading as Canberra IQ),Media,1-10,,
Attorney-General's,,Federal,Australian Crime Commission,ACC,https://www.crimecommission.gov.au/,Strategy&,Commercial and Govt Consulting,51-200,,
Attorney-General's,,Federal,Australian Human Rights Commission,AHRC,https://www.humanrights.gov.au/,GreenBizCheck,Data/Technology,1-10,,
Communications,,Federal,Department of Communications,,http://www.communications.gov.au/,Omnilink,Geospatial/Mapping,11-50,,
Defence,,Federal,Defence Materiel Organisation,DMO,http://www.defence.gov.au/dmo/,Strategy&,Commercial and Govt Consulting,51-200,,
Defence,,Federal,Defence Materiel Organisation,DMO,http://www.defence.gov.au/dmo/,Rhino Linings Australasia Pty Ltd,Mining/Manufacturing,11-50,,
Defence,,Federal,Department of Defence,,http://www.defence.gov.au/,Rhino Linings Australasia Pty Ltd,Mining/Manufacturing,11-50,,
Defence,,Federal,Department of Defence,,http://www.defence.gov.au/,Cathodic Anodes Australasia,Mining/Manufacturing,11-50,,
Education and Training,,Federal,General,,,Australian Library and Information Association,Library and information,11-50,ASQA,
Education and Training,,Federal,General,,,Australian Library and Information Association,Library and information,11-50,TEQSA,
Education and Training,,Federal,General,,,Australian Library and Information Association,Library and information,11-50,Job Outlook,
Education and Training,,Federal,General,,,Australian Library and Information Association,Library and information,11-50,Department of Employment projections,
Education and Training,,Federal,General,,,Australian Library and Information Association,Library and information,11-50,NCVER,
Education and Training,,Federal,Department of Education and Training,,https://education.gov.au/,Construction Skills Queensland,Construction,11-50,,
Environment,,Federal,Bureau of Meteorology,BoM,http://www.bom.gov.au/,Cardno,Research & Consulting,"1,001-5,000",Weather Stations,
Environment,,Federal,Bureau of Meteorology,BoM,http://www.bom.gov.au/,IAG Ltd,Insurance,"5,001-10,000",Cyclone Track Maps,http://www.bom.gov.au/cyclone/about/warnings/gis.shtml
Environment,,Federal,Bureau of Meteorology,BoM,http://www.bom.gov.au/,Deloitte,Consulting,"5,001-10,000",,
Environment,,Federal,Bureau of Meteorology,BoM,http://www.bom.gov.au/,Data Analysis Australia,Research & Consulting,11-50,,
Environment,,Federal,Bureau of Meteorology,BoM,http://www.bom.gov.au/,Geospatial Information & Technology Association,Data/Technology,1-10,,
Environment,,Federal,Department of the Environment,,http://www.environment.gov.au/,GreenBizCheck,Data/Technology,1-10,,
Environment,,Federal,Department of the Environment,,http://www.environment.gov.au/,Rhino Linings Australasia Pty Ltd,Mining/Manufacturing,11-50,,
Environment,,Federal,Department of the Environment,,http://www.environment.gov.au/,Enviro-dynamics Pty Ltd,Environment & Weather,1-10,,
Environment,,Federal,Department of the Environment,,http://www.environment.gov.au/,Bass Coast Landcare Network Inc,Environment & Weather,11-50,,
Immigration,,Federal,Department of Immigration,,http://www.immi.gov.au/Pages/Welcome.aspx,Strategy&,Commercial and Govt Consulting,51-200,,
Infrastructure and Regional Development,,Federal,Department of Infrastructure and Regional Development,,https://www.infrastructure.gov.au/,Rhino Linings Australasia Pty Ltd,Mining/Manufacturing,11-50,,
Parliamentary Departments,,Federal,General,,,Elafent,Data/Technology,11-50,,
Foreign Affairs and Trade,,Federal,General,,,Strategy&,Commercial and Govt Consulting,51-200,,
City of Gold Coast,Gold Coast,City/County,General,,www.goldcoast.qld.gov.au,Peclet Technology Pty Ltd,Data/Technology,1-10,,
City of Melbourne,Melbourne,None,General,,www.melbourne.vic.gov.au,Code for Australia,innovation,1-10,,
Australian Capital Territory Government,ACT,State,ACT Emergency Services Agency,ESA,esa.act.gov.au,Elafent,Data/Technology,11-50,,
Australian Capital Territory Government,ACT,State,ACT Planning and Land Authority,ACTPLA,www.actpla.act.gov.au,Cardno,Research & Consulting,"1,001-5,000",,
Australian Capital Territory Government,ACT,State,Economic Development Directorate,,www.economicdevelopment.act.gov.au,Strategy&,Commercial and Govt Consulting,51-200,,
