company_name_id,company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model,social_impact,description,description_short,source_count,data_types,example_uses,data_impacts,financial_info,last_updated
4d-mapper,4D Mapper,web.4dmapper.com,2015,Bawley Point,NSW,au,2539,1-10,Private,Geospatial/Mapping,"Data analysis for clients, Subscriptions, User fees for web or mobile access","Business to Business, Business to Consumer, Business to Government","Citizen engagement and participation, Consumer empowerment, Educational opportunity, Environment and climate change, Good governance, geospatial data access","4DMapper enables access, delivery, measurement and collaboration on massive geospatial datasets (unlimited size), expanding the reach of these products to anyone with a browser, executives, stakeholders, the pulic... 

In brief:

    4DMapper technology automatically ingests orthophotos, DTMs, pointclouds, shapefiles...   drag and drop on a browser
    No software, all cloud based (or intranet installed), users only need a browser
    No data handling. Once ingested, massive files are available, in 3D, immediately to multiple users, streaming from our servers
    Projects can be shared by sending a URL
    Measurement tools enable users to measure points, lines, areas and volumes
    3D Digitizing on the model can be extracted as DXF
    Multiple users can markup, digitize, collaborate in real time, viewing each other's annotations. (a geospatial Google Docs)",4D Mapper streams geospatial data. We are the Google Docs and Netflix of Geospatial data. ,101+,"Agriculture & Food, Business, Consumer, Demographics & Social, Energy, Environment, Geospatial/Mapping, Government Operations, International/Global Development, Positioning/GPS, Science and Research, anything geospatial. ","We allow users to incorporate their own multi-format geospatial data (orthophotos, 3D digital terrain, point clouds, shapefile vector data) with external data from WMS or ArcGIS server, and share it with anyone, streaming it to unlimited users on their browsers. No software. ","[u'Cost efficiency', u'New or improved product/service', u'Job growth', u'Revenue growth', u'Identify new opportunities', u'New/improved research', u'extended reach to a greater audience.']","We operate two business models. A cloud based subscription service that is ready to go, right now, sign up and upload your data or include government WMS data (eg National Map).  The second model is an installed version with the same functionality, operating within a department or corporate intranet. ",2015-09-22 22:27:52.233845
adg-engineers-aust-pty-ltd,ADG Engineers (Aust) Pty Ltd,https://www.adgce.com/,2002,Brisbane,QLD,au,4066,51-200,Private,Construction,"Consulting, Government contract",Business to Business,"Citizen engagement and participation, Public safety","We are not limited by discipline, restricted by geography or held back by the technology of our time.

Our project teams are multi-disciplinary, using our combined strength and expertise to provide the best possible outcome for our clients. We communicate across offices, states and countries with our colleagues, partners and clients.

We don’t just grow in terms of our job titles. We are continually learning new approaches to design, collaborating with engineers, draftspeople and technicians across multiple disciplines and drawing from the knowledge and experience of our leadership team.

We believe in always moving forward. If we…

    …require advanced technology, we find it.
    …need to think about a problem a little differently to achieve the outcome we need, we do it.
    …have an idea which will save our clients time, money and risk, we speak up.
","We believe project success is created through continuous collaboration with our clients, partners and colleagues as we go about the delivery of an outstanding outcome.",1-10,"Business, Economics, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Positioning/GPS","We use BIM (Building information Model) platforms that allow us to openly exchange data to other consultants within the project. From Client to Architect all through the project phase to construction, hand over and facilities management. 

The BIM data allows us to effectively communicate our design intent but also verify construction scenarios prior to commencement. This has a long term benefit because our Client and builders can utilize this information to provide cost certainty but safety on site.  ","[u'Cost efficiency', u'New or improved product/service', u'Job growth', u'Revenue growth', u'Identify new opportunities', u'New/improved research', u'Safety']","Our Projects are located at the following link:
https://www.adgce.com/projects/

But if there is any further information feel free to contact our office directly.

Kind regards,",2015-07-15 19:24:47.261256
advance-cairns,Advance Cairns,www.advancecairns.com,2000,Cairns,QLD,au,4870,1-10,Nonprofit,Economic Development and Advocacy,"Government contract, Membership fees",Business to Government,Citizen engagement and participation,"Advance Cairns is the peak regional economic development, investment attraction and advocacy organisation for Tropical North Queensland.

We facilitate connections between private enterprise, industry, community and government agencies to improve the lives of people living within our region.",Regional development and advocacy organisation.,101+,"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather, As required by our project","The company undertakes extensive statistical research in support of its various advocacy issues and uses data sets developed by the ABS, Qld Govt Statisticians Office, Austrade, Ausaid, Trade & Investment Qld, various local government authorities, UN, World Bank, ADB, ABARE, etc... where ever it is possible to access data and research via Govt departments, we source it and use it.  We use a tool called 'economyID' which provides us with significant specialised regional data.  ","[u'Job growth', u'Identify new opportunities', u'New/improved research', u'For advocacy  and developing business cases ']","Advance Cairns operates on a membership based model. Our members represent key stakeholders within our community and business leaders who all have a vested interest in driving our region forward.  Fees are based on membership categories.  The organisation generates around $600,000 membership revenue per annum which is used for all operational requirements.  Membership categories are being changed in order to develop a revenue stream in excess of $1 million per annum.  ",2015-07-15 19:07:49.655358
aerometrex-pty-ltd,Aerometrex Pty Ltd,www.aerometrex.com.au,1980,Adelaide,SA,au,5067,11-50,Private,Geospatial/Mapping,"Consulting, Data analysis for clients, Database licensing, Government contract, Subscriptions, User fees for web or mobile access, Company contract","Business to Business, Business to Consumer, Business to Government","Citizen engagement and participation, Environment and climate change, Good governance, Built environment, Engineering","Our mission is to provide professional, accurate digital image mapping and geospatial engineering solutions to our clients by exploiting both existing and emerging air and ground imaging technologies.","Aerometrex is a producer of high-quality, accurate aerial imagery and derived geospatial products.",,,,[],"Aerometrex is a SME, with approx. 30 staff. It is currently a staff-management owned company and has won numerous awards in the Spatial Sciences industry over the past 5 years. Company turnover is in the $5m - $12m range per annum. We expect that figure to increase substantially in the foreseeable future, and we are attracting investment interest from numerous parties. We have a joint project with Jacobs (US-based engineering giant) called MetroMap, and we have several other world-class ongoing development initiatives in train including our 3D modelling system, aero3Dpro. ",2015-07-15 19:19:31.971696
alantgeo-pty-ltd,Alantgeo Pty Ltd,http://alantgeo.com.au,2015,Sydney,NSW,au,2072,1-10,Private,Geospatial/Mapping,Consulting,"Business to Business, Business to Government","Citizen engagement and participation, Environment and climate change","Alantgeo specialises in delivering web and mobile geospatial mapping and visualisation solutions, allowing anyone to design and publish maps.",Web and mobile geospatial mapping and visualisation.,11-50,Geospatial/Mapping,"We use both government and non-government sourced open data. Specifically geospatial data. This includes, OpenStreetMap, VicMap data, QLD open geospatial data, ABS data and various Geoscience Australia data products in our consultancy services and to value add to these datasets for business and government consumers.","[u'Cost efficiency', u'New or improved product/service', u'Revenue growth', u'Identify new opportunities']","No outside investments. New business just started up. Forecast annual revenue of $50,000-$500,000.",2015-07-15 19:33:03.504955
alexander--symonds-pty-ltd,Alexander & Symonds Pty Ltd,www.alexander.com.au,1932,Adelaide,SA,au,5067,51-200,Private,Professional Consulting,"Consulting, Government contract","Business to Business, Business to Consumer, Business to Government",Housing access,"Alexander Symonds first made its mark on the Australian surveying scene in 1932 and has since grown to become one of the leading and longest serving surveying consultancies in the country.
We offer consulting services in all fields of surveying including land development, precise engineering, infrastructure, laser scanning and licensed surveying.
Our many award-winning projects have been supported by utilising contemporary surveying procedures and advanced technology that has positioned us at the forefront of the industry. 
Behind these advancements is our team of over 75 highly skilled employees who are based in offices across South Australia and Victoria. They are committed to providing the highest quality service to our clients, and from large complex projects to small jobs, recognise the critical nature of the work we do where accuracy and timeliness are crucial.
We believe our success in business over the past 80 years has been underpinned by strong and enduring relationships. We seek not only to serve our clients, but also our staff, strategic partners and the local communities in which we operate to deliver wide-ranging benefits to all stakeholders. 
At Alexander Symonds, we recognise it is not only about doing a good job – it is about shaping our world.
","At Alexander Symonds, we recognise it is not only about doing a good job – it is about shaping our world.
",11-50,"Environment, Geospatial/Mapping, Housing, Legal, Positioning/GPS, Transportation","Our daily activities make use of the foundation data sets which we analyse, manipulate, integrate & present to our client along with the new information we have collected
Data sets include survey marks, contours, aerial mapping, cadastral & land information","[u'Cost efficiency', u'New or improved product/service', u'Job growth', u'Revenue growth', u'Identify new opportunities', u'New/improved research']",,2015-07-15 19:24:15.313157
almighty-god-blessing-family-day-care-pty-ltd,Almighty God Blessing Family Day Care pty ltd,almightygodblessing2015@gmail.com,2014,Canberra,ACT,au,2607,11-50,Private,family day care services,"Advertising, Consulting, Contributions/Donations, Data analysis for clients, Database licensing, Government contract, Membership fees, User fees for web or mobile access",Business to Consumer,"Citizen engagement and participation, Consumer empowerment, Public safety","We engage, support, resource and inspire educators to work in collaboration with families ensuring each child reaches their full potential. In meeting our vision, the service will act in a professional and respectful manner, valuing partnerships and diversity. Our primary focus is always what is in the best interests of the child and in doing so we honour the United Nations Convention on the Rights of the Child.","
Excellent family day care where every child will have a good future.
",,,,[],"Our objective is to provide excellent home based education and care environments, where children will be assisted to grow and become confident and socially competent members of our community while adhering to our core values of:

•	Differences will be valued
•	Promoting access and equity for all
•	Communicating openly and honestly 
•	Striving for excellence
•	Promoting collaborative relationships
•	To be focussed on positive outcomes
",2015-07-15 19:14:31.251979
applied-land-systems,Applied Land Systems,http://www.appliedlandsystems.com.au/,2008,Tuross Head,NSW,au,2537,1-10,Private,Geospatial/Mapping,"Consulting, Data analysis for clients, Government contract","Business to Business, Business to Consumer, Business to Government",,"Applied Land Systems Pty Ltd has been established to meet a growing need in the community for specialist services related to measurement, geographic information systems (GIS), information system design and project management. Recent developments through the web have exposed more people to the 'where' of everyday activities and events. This provides new opportunities for service providers to take advantage of the efficiencies offered by a range new technologies; however putting these in place requires sound project management by those that understand the capabilities and pitfalls. Through its Director Robert Twin, Applied Land Systems brings together a range of skills and experience that can be applied to projects big and small to meet this need. These range from field based activities such as surveying and data collection, to GIS, data modelling, project management and web mapping.",Providing surveying and spatial information solutions to clients in the private sector and government.,1-10,"Geospatial/Mapping, Positioning/GPS","Use will be on demand based on client requirements. To date I have experienced little requirement to access open data for private clients as demand has mainly been for data which is sourced from State Governments and for which there is a charge.

Contract work within both local and federal government agencies has made use of other data sources; however this has been obtained by the respective organisations.","[u'Cost efficiency', u'New or improved product/service', u'Identify new opportunities']","Investment in capability, equipment and software of around $100,000. Annual revenues vary based on contracts won and type of work performed.",2015-07-15 19:25:48.011335
arup,Arup,digital.arup.com,1946,Sydney,NSW,au,2000,"1,001-5,000",Private,Research & Consulting,"Consulting, Data analysis for clients, Government contract","Business to Business, Business to Consumer, Business to Government","Citizen engagement and participation, Consumer empowerment, Environment and climate change, Good governance","Arup is a multinational professional services firm  which provides engineering, design, planning, project management and consulting services for all aspects of the built environment. The firm has over 11,000 staff based in 92 offices across 42 countries, and is present in Africa, the Americas, Australasia, East Asia, Europe and the Middle East. Arup has participated in projects in over 160 countries and currently has over 1,100 staff across Australia.","We are an independent firm of designers, planners, engineers, consultants and technical specialists offering a broad range of professional services.",11-50,"Business, Demographics & Social, Economics, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Housing, International/Global Development, Positioning/GPS, Transportation, Weather","we help government and the private sector release their open data, and also use it on our projects for government and private sector to better inform the decision making process. ","[u'New or improved product/service', u'Identify new opportunities', u'New/improved research']","Arup is owned by trusts, the beneficiaries of which are Arup's past and present employees, who receive a share of the firm's operating profit each year",2015-07-15 19:12:29.651730
auscope-ltd,AuScope Ltd,http://www.auscope.org.au/site/,2007,Melbourne,VIC,au,3000,1-10,Nonprofit,Research & Consulting,Government contract,Research Infrastructure,"Educational opportunity, Environment and climate change, Resources Industry and Research","AuScope Limited is a non-profit company formed to facilitate the implementation of a world-class infrastructure system for earth science through the delivery of a range of technologies and capabilities in data acquisition, management, modelling and simulation across the geospatial and geoscience spectrum.","AuScope Limited implements a world-class infrastructure system for earth science delivering a range of technologies and capabilities in data acquisition, modelling across geospatial and geosciences.",11-50,"Environment, Geospatial/Mapping, Positioning/GPS, Science and Research, Geoscience (Minerals, Resources, Ground Water)","AuScope's strong partnership with all State and Territory Geological Surveys, Geoscience Australia and Universities has led to the creation of an Open Data based geoscience information infrastructure for use by researchers and Industry. AuScope developed the technology and standards that allows national interoperability across all these partners (the spatial information services stack, SISS). The data is now available directly from the partners and used in the AuScope Portal and in numerous research projects. The Govt agencies involved are now publishing this open data for use by Industry using the same AuScope infrastructure.","[u'Cost efficiency', u'New or improved product/service', u'Job growth', u'Identify new opportunities', u'New/improved research']","AuScope was awarded $42.8 million in 2007 by the Australian Government under the National Collaborative Research Infrastructure Strategy. It includes 23 participants including CSIRO, Geoscience Australia, 11 universities, and state government agencies. Over $70 million in co-investment has been committed by the participants in AuScope. In 2010 AuScope was awarded $23 million under the Education Investment Fund (EIF) Round 3 to create a new Australian Geophysical Observing System, extending AuScope capability. The Government’s $23 million investment is leveraging a further $82 million from the project partners.",2015-07-15 19:22:05.827307
