agency_name,agency_abbrev,agency_type,subagency_name,subagency_abbrev,url,used_by,used_by_category,used_by_fte,dataset_name,dataset_url
Ministry of Environment,,Federal,General,,,naturing,Consulting,1 - 10,,
Ministry of Environment,,Federal,General,,,hidoc,Advertising,51 - 200,,
National fisheries Research & Development Institute,,Federal,General,,,sjglobe,Discount store,11 - 50,,
Ministry of Culture & Sports and Tourism,,Federal,General,,,B2COME,Advertising,1 - 10,,
Ministry of Culture & Sports and Tourism,,Federal,General,,,wisemobile,Data/Technology,1 - 10,,
Ministry of Culture & Sports and Tourism,,Federal,General,,,jin hak ,Education,51-200,,
Ministry of Culture & Sports and Tourism,,Federal,General,,,witches,Data/Technology,,,
Ministry of Culture & Sports and Tourism,,Federal,General,,,inter park ,,,,
Ministry of Culture & Sports and Tourism,,Federal,General,,,kbcard,Business/Legal Services,,,
Ministry of Culture & Sports and Tourism,,Federal,General,,,FLY BOOK ,Education,,,
Ministry of Agriculture & Food and Rural Affairs,,Federal,General,,,theimc,Consulting,51 - 200,,
Ministry of Agriculture & Food and Rural Affairs,,Federal,General,,,famnet,Food/Agriculture,11 - 50,,
Ministry of Agriculture & Food and Rural Affairs,,Federal,General,,,viable vision ,Data/Technology,1 - 10,,
Ministry of Agriculture & Food and Rural Affairs,,Federal,General,,,Jungdo UIT ,Data/Technology,51-200,,
Ministry of Agriculture & Food and Rural Affairs,,Federal,General,,,petsbe,Lifestyle/Consumer,1 - 10,,
Statistics Korea,,Federal,General,,,theimc,Consulting,51 - 200,,
Statistics Korea,,Federal,General,,,wisenut,Data/Technology,11 - 50,,
Ministry of Food and Drug Safety,,Federal,General,,,measureaid,Consulting,1 - 10,,
Ministry of Food and Drug Safety,,Federal,General,,,kims,Food/Agriculture,11 - 50,,
Ministry of Food and Drug Safety,,Federal,General,,,druginfo,Data/Technology,51-200,,
Ministry of Food and Drug Safety,,Federal,General,,,"Health Layer Co., Ltd",Research/Consulting,1 - 10,,
Ministry of Food and Drug Safety,,Federal,General,,,KOMMA,Food/Agriculture,1 - 10,,
Ministry of Food and Drug Safety,,Federal,General,,,FirstDIS ,Lifestyle/Consumer,,,
Korea Transportation Safety Authority,,Federal,General,,,carffeine,Advertising,51 - 200,,
Korea Transportation Safety Authority,,Federal,General,,,Macarong factory,Data/Technology,1 - 10,,
Korea Transportation Safety Authority,,Federal,General,,,SuperApps,Data/Technology,1 - 10,,
Office of Education,,Federal,General,,,iamschool,Advertising,51 - 200,,
Office of Education,,Federal,General,,,ppomppu,Advertising,11 - 50,,
Health Insurance Review & Assessment Service,,Federal,General,,,goodoc,Advertising,1 - 10,,
Health Insurance Review & Assessment Service,,Federal,General,,,umven,Data/Technology,1 - 10,,
