company_name_id,company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model,social_impact,description,description_short,source_count,data_types,example_uses,data_impacts,financial_info,last_updated
-airblack-inc, airblack Inc.,"www.airblack.com
",2015,Guro-gu,Seoul,kr,08390,1 - 10,Private,Business/Legal Services,Consulting,,Citizen engagement and participation,network services for business expansion in Africa,,,,,[],,2016-02-03 14:40:40.632358
153weather,153weather,http://www.153weather.com,1993,Guro-gu,Seoul,kr,08377,,Private,Environment/Weather,"Consulting, Data analysis for clients",,Environment and climate change,"With customer convenience and utility in mind, we provide the useful life weather information and the economic weather information meeting green growth ",,,,,[],,2016-02-03 14:40:24.967586
21cbook,21cbook,www.21cbook.co.kr,1995,Paju-si,Gyeonggi-do,kr,10882,1 - 10,Private,Book sales,"Data/Technology, Education, Energy, Environment/Weather, Food/Agriculture, Housing/Real Estate, Lifestyle/Consumer, Media, Scientific Research, Transportation",,Publication,"To catch up with the age of informatization, <Publishing Company 21st Century> focused on information science, publishing books on computer, electricity, communication and environment in June 1996. We have published more than 300 books and will be reborn as a creative and progressive publisher by publishing child education, social welfare and sightseeing.",,,,,[],,2016-02-03 14:39:45.615062
2e-consulting,2e consulting,http://www.2e.co.kr,1996,Yeongdeungpo-gu,Seoul,kr,07228,,Private,Research/Consulting,Consulting,,Educational opportunity,"2E CONSULTING has received broad recognition from a wide spectrum of industry sectors, including finance, public, communication, distribution and service, and provides South Korea's leading enterprises with advanced services, such as next-generation system establishment, data combination, information strategy planning, process innovation, software architecture, project management, IT governance, enterprise architecture (EA), and business process management.    ",,,,,[],,2016-02-03 14:40:29.910071
3r-technology,3R Technology,https://play.google.com/store/apps/details?id=tour.korea.api.loveit.visit.korea.free,2015,Hwaseong-si,Gyeonggi-do,kr,18447,1 - 10,Private,Advertising,Travel,,Informacion access,"We provide categorized travel information. In addition, we offer the recommended travel of the month and the travel information recommended by travel writers. ",,,,,[],,2016-02-03 14:39:42.095175
4s-family-,4S Family ,https://play.google.com/store/apps/details?id=com.louis.safetykorea,2015,,,kr,00000,,,Lifestyle/Consumer,,,Consumer empowerment,"We offer a function of checking the safety of a product before its purchase by searching product name, model name, certification number and brand name. ",,,,,[],,2016-02-03 14:40:35.342318
9px,9px,www.9px.co.kr,2015,Seocho-gu,Seoul,kr,06577,1 - 10,Private,Data/Technology,"Consulting, Data analysis for clients, User fees for web or mobile access",,"Consumer empowerment, Educational opportunity","9px is a design company that connects humans and technologies. Through a comprehensive and in-depth approach to numerous futuristic digital media productions and technologies, we create the most befitting features and experiences of the user interface technology. Our creative thought process and detail-oriented design skill set will lead you to a whole new level of experiencing the world of technology ",,,,,[],,2016-02-03 14:40:02.060348
abcointernational,abcointernational,www.abcointernational.co.kr,2003,Seocho-gu,Seoul,kr,06650,11 - 50,Private,Energy,Software licensing,,,"This company has been facilitating foreign heavy equipments sales to our Korean EPC clients for the past 28 years. Since 1987, we have been maintaining consistently same clients base engaged in refinery, petrochemical, chemical, power, on/offshore oil and gas development industries around the globe. Our business objective is to serve our clients as well as partners around the world until they are satisfied to their expectation.",,,,,[],,2016-02-03 14:40:09.278544
acom,ACOM,http://acominc.co.kr,1997,Pocheon-si,Gyeonggi-do,kr,11157,11 - 50,Private,,Consulting,,Consumer empowerment,"We provide the information on livestock products' class and history using the wireless communication technology of smartphone app, our ERP system and electronic scale  ",,,,,[],,2016-02-03 14:40:23.986285
aoc,AoC,https://play.google.com/store/apps/details?id=com.altamirasoft.allofcosmetics&hl=ko,2014,Gangnam-gu,Seoul,kr,06244,1 - 10,Private,Data/Technology,"Advertising, Consulting, Data analysis for clients, Philanthropic grant",,"Consumer empowerment, Educational opportunity, Healthcare access, Public safety","Aoc (Cosmetics Mentor) is co-operated by two dermatological specialists. 
We aim to provide information on public safety and to improve the rights and benefits of consumers. For the safe use of cosmetics, we provide information on cosmetics components; component-specific safety; major component functions; component benefits and side effects; country-specific regulations (Europe/US/South Korea). 
We also made efforts to help consumers find high-grade information on effects, side effects etc easily.
Currently, we depend on the safety information provided by EWG and CIR in the US, but gather and analyze the regulations, mixture limits, and prohibition and safety information from Europe, the US, China, Japan, Australia, Canada etc to establish our own safety guidelines in the future.
We have recently concluded a contract with a large communication company on ""a skin-related study and an analysis of skin-related data"". This is expected to enable to gain the data optimized to domestic environment by analyzing the big data on skin diseases or types related to domestic weather changes and effects and side effects related to cosmetics. 
We believe that if we obtain information on the items and kinds of functional cosmetics, the toxicities and side effects of cosmetic components through public data from the government, this will be much helpful to the KIIS (Korean Cosmetic Ingredients Safety Standardization) we are preparing for.       ",,,,,[],,2016-02-03 14:39:55.569239
