agency_name,agency_abbrev,agency_type,subagency_name,subagency_abbrev,url,used_by,used_by_category,used_by_fte,dataset_name,dataset_url
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,Exponential Knowledge,Investigación y Consultoría,1-10,Proveedores,http://www.cfe.gob.mx/Proveedores/4_Informaciongeneral/Paginas/Proveedoes.aspx
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,Data4,Tecnología/Datos,1-10,,
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,El Instituto Mexicano para la Competitividad A.C. (IMCO),Investigación y Consultoría,11-50,,
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,Atlantia Search,Tecnología/Datos,1-10,,
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,McKinsey & Company,Investigación y Consultoría,"10,001+",,
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,Telefónica,Medios y Comunicación,"10,001+",,
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,Banorte-Ixe,Finanzas e Inversiones,"10,001+",,
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,Marcos y Asociados,Energía,11-50,,
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,Cámara Mexicana de la Industria de la Construcción,,,,
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,Centro de Investigación para el Desarrollo (CIDAC),Investigación y Consultoría,11-50,,
Comisión Federal de Electricidad,CFE,Federal,General,,http://catalogo.datos.gob.mx/dataset?organization=cfe,Centro de Estudios Jurídicos y Ambientales (CEJA),Clima y Medio Ambiente,,,
Nacional Financiera,NAFIN,Federal,General,,http://catalogo.datos.gob.mx/organization/nafin,CREA,Educación,11-50,,
Nacional Financiera,NAFIN,Federal,General,,http://catalogo.datos.gob.mx/organization/nafin,Centro de Investigación para el Desarrollo (CIDAC),Investigación y Consultoría,11-50,,
ProMéxico,,Federal,General,,http://catalogo.datos.gob.mx/organization/promexico,Deloitte,Investigación y Consultoría,"501-1,000",Estudios Sectoriales,
ProMéxico,,Federal,General,,http://catalogo.datos.gob.mx/organization/promexico,Atlantia Search,Tecnología/Datos,1-10,,
ProMéxico,,Federal,General,,http://catalogo.datos.gob.mx/organization/promexico,Accenture,Investigación y Consultoría,"10,001+",,
Secretaría de la Defensa Nacional,SEDENA,Federal,General,,,Cuadra Urbanismo,Investigación y Consultoría,11-50,,
Secretaría de la Defensa Nacional,SEDENA,Federal,General,,,DVVIMSS,Salud,1-10,,
Secretaría de la Defensa Nacional,SEDENA,Federal,General,,,Fundar Centro de Análisis e Investigación,Investigación y Consultoría,11-50,,
Instituto Nacional Electoral,INE,Federal,General,,http://www.ine.mx/es/web/portal/inicio,MapData,Mapeo/Geoespacial,11-50,Resultados Electorales,http://www.ine.mx/archivos3/portal/historico/contenido/Historico_de_Resultados_Electorales/
Instituto Nacional Electoral,INE,Federal,General,,http://www.ine.mx/es/web/portal/inicio,Cartográfica,Mapeo/Geoespacial,1-10,Cómputos Distritales 1991-2012,http://www.ine.mx/archivos3/portal/historico/contenido/Historico_de_Resultados_Electorales/
Instituto Nacional Electoral,INE,Federal,General,,http://www.ine.mx/es/web/portal/inicio,kubo.financiero,Finanzas e Inversiones,11-50,Consulta de validez,http://listanominal.ife.org.mx/
Instituto Nacional Electoral,INE,Federal,Instituto Estatal Electoral de Aguascalientes,IEEAGS,http://www.ieeags.org.mx/,Telus,Investigación y Consultoría,1-10,,
Instituto Nacional Electoral,INE,Federal,Instituto Estatal Electoral de Aguascalientes,IEEAGS,http://www.ieeags.org.mx/,Confederación Patronal de la República Mexicana (COPARMEX),Servicios Empresariales,51-200,,
Instituto Nacional Electoral,INE,Federal,Instituto Estatal Electoral Baja California,IIEBC,www.ieebc.org.mx,Telus,Investigación y Consultoría,1-10,,
Instituto Nacional Electoral,INE,Federal,Instituto Estatal Electoral Baja California,IIEBC,www.ieebc.org.mx,Confederación Patronal de la República Mexicana (COPARMEX),Servicios Empresariales,51-200,,
Instituto Nacional Electoral,INE,Federal,Instituto Electoral del Estado de Campeche,IEEC,www.ieec.org.mx,Telus,Investigación y Consultoría,1-10,,
Instituto Nacional Electoral,INE,Federal,Instituto Electoral del Estado de Campeche,IEEC,www.ieec.org.mx,Confederación Patronal de la República Mexicana (COPARMEX),Servicios Empresariales,51-200,,
Instituto Nacional Electoral,INE,Federal,Instituto Estatal Electoral de Chiapas,IEE-CHIAPAS,www.iee-chiapas.org.mx,Telus,Investigación y Consultoría,1-10,,
Instituto Nacional Electoral,INE,Federal,Instituto Estatal Electoral de Chiapas,IEE-CHIAPAS,www.iee-chiapas.org.mx,Confederación Patronal de la República Mexicana (COPARMEX),Servicios Empresariales,51-200,,
Instituto Nacional Electoral,INE,Federal,Instituto Estatal Electoral Chihuahua,www.ieechihuahua.org.mx,IEECHIHUAHUA,Telus,Investigación y Consultoría,1-10,,
Instituto Nacional Electoral,INE,Federal,Instituto Estatal Electoral Chihuahua,www.ieechihuahua.org.mx,IEECHIHUAHUA,Confederación Patronal de la República Mexicana (COPARMEX),Servicios Empresariales,51-200,,
Instituto Nacional Electoral,INE,Federal,Instituto Electoral y de Participación Ciudadana de Coahuila,IEPCC,www.iepcc.org.mx,Telus,Investigación y Consultoría,1-10,,
