company_name_id,company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model,social_impact,description,description_short,source_count,data_types,example_uses,data_impacts,financial_info,last_updated
abison-burke,Abison Burke,www.abisonburke.com,2002,"México, D.F.",DF,mx,06140,51-200,Partnership / Sociedad,Investigación y Consultoría,"Análisis de datos, Consultoría",Empresa a Empresa,,"La principal aportación que ofrecemos a nuestros clientes es nuestra tecnología disruptiva en modelos de análisis para la toma de decisiones.

En breve, nuestros servicios incluyen:

Investigación cualitativa
Investigación cuantitativa
Diseño y implementación de investigación
Investigación Cara a Cara (en casas, en la calle, intermediarios, etc.)
Encuestas telefónicas (utilizando tecnología CATI)
Procesamiento y análisis de datos
Entrevistas profundas
Entrevistas/discusiones con grupos focales
Interpretación y reportes
Inspecciones secretas/anónimas
Observación
Páneles y comunidades
",En Abison Burke contamos con más de 12 años reuniendo talento especializado en diferentes áreas de mercadotecnia é investigación de mercado.,11-50,"Consumidor, Demografía y Población, Economía, Empresas, Finanzas, Manufactura, Mapeo/Geoespacial, Electoral","Se utilizan datos geoespeciales para el Traditional Store Census, una herramienta que le permitirá al cliente tener una base de datos geo referenciada sobre mapas digitales con un gran número de tiendas al detalle tradicionales (Misceláneas, abarrotes, licorerias, farmacias, etc.) http://www.abisonburke.com/espanol/servicios/estudios_sindicados/traditional_store_census/index.html

Se utilizan datos electorales para Brand Health, una metodología que le permite al cliente conocer la imagen actual de sus candidatos o gobernantes así como los atributos valorados por cada segmento poblacional. http://www.abisonburke.com/espanol/servicios/estudios_electorales/brand_health/index.html","[u'Servicios/productos nuevos o mejorados', u'Crecimiento de las ganancias', u'Nuevas / mejoradas Investigaciones']",,2015-01-22 15:54:53.356572
abt-associates-inc,"Abt Associates, Inc",http://www.abtmexico.net,2013,Ciudad de México,DF,mx,11560,1-10,Privada,Investigación y Consultoría,Asistencia internacional,Empresa a Gobierno,"Acceso financiero, Participación ciudadana, ","La misión de Abt Associates en México, como oficina representativa de Abt Associates, es implementar el Programa de Política Económica para México (PROPEM) de la Agencia Internacional para el Desarrollo Internacional (USAID). 
La misión del PROPEM es mejorar la productividad y competitividad del sector privado mexicano mediante el apoyo a los esfuerzos del sector público para fortalecer el desarrollo económico.
","Abt Associates implementa el Programa de Política Económica para México, enfocado a mejorar la productividad y competitividad a través de asistencia técnica al sector público.",11-50,"Economía, Empresas, Operaciones gubernamentales","Abt Associates a través del PROPEM ayuda a la implementación de políticas de datos abiertos a nivel local (Red MX Abierto). Asimismo, trabaja junto con el gobierno federal para identificar bases de datos que pueden utilizarse para resolver retos de agencias de gobierno a través de aplicaciones (Retos Públicos). También, lidera un esfuerzo para ayudar a municipios a estructurar sus datos en formatos accesibles para que las empresas puedan acceder a información sobre sus derechos y obligaciones, inspecciones, y giros y permisos de uso de suelo otorgados por el municipio georeferenciados. 
Por último, se están utilizando datos gubernamentales abiertos para la asignación de créditos para micro y pequeñas empresas en la Ciudad de México.",[u'Eficiencia econ\xf3mica'],"El PROPEM, implementado por la oficina de Abt Associates en México, ganó una licitación de USAID en el 2013 para operar el programa de abril 2013 - abril 2016. USAID es la única fuente de financiamiento.",2014-10-01 02:35:45.873501
accenture,Accenture,http://www.accenture.com/,1989,"México, D.F.",DF,mx,11000,"10,001+",Pública,Investigación y Consultoría,"Análisis de datos, Consultoría, Contratos gubernamentales","Empresa a Empresa, Empresa a Gobierno",,"Accenture es una empresa global de consultoría de gestión, servicios tecnológicos y outsourcing, con más de 305,000 profesionistas al servicio del cliente en más de 120 países. Accenture colabora con sus clientes para ayudar a convertir sus empresas en negocios y administraciones públicas de alto rendimiento. La empresa generó ingresos netos de 30,000 millones de dólares para el año fiscal terminado el 31 de agosto de 2014.","Accenture es una compañía global de consultoría, tecnología y outsourcing.",101+,"Agricultura y Alimentación, Ciencia e investigación, Clima, Consumidor, Demografía y Población, Desarrollo internacional, Economía, Educación, Empresas, Energía, Finanzas, Legal, Manufactura, Mapeo/Geoespacial, Medio Ambiente, Operaciones gubernamentales, Salud, Seguridad pública, Transporte, Turismo, Vivienda","Se utilizan datos abiertos gubernamentales para realizar estudios. Ej:

INEGI: http://www.accenture.com/sitecollectiondocuments/pdf/accenture-pulso-estrategico.pdf

http://www.accenture.com/sitecollectiondocuments/pdf/accenture-estudio-mexico-hacia-alto-desempeno-ii.pdf

por lo general: http://www.accenture.com/SiteCollectionDocuments/es-es/Accenture-Mas-alla-de-lo-tradicional.pdf

CONAPO: http://www.accenture.com/mx-es/company/newsroom-mexico/Pages/gobiernos-redefinir-fuerza-laboral.aspx

ProMéxico colaboración: http://www.accenture.com/SiteCollectionDocuments/Local_Mexico/Research-and-Insights/Accenture-Estudio-de-Colaboracion.pdf
 and 
http://www.accenture.com/SiteCollectionDocuments/PDF/Accenture-The-Cancun-Concepts.pdf

SE: http://www.accenture.com/mx-es/company/newsroom-mexico/Pages/mexico-a-caza-de-inversion.aspx","[u'Eficiencia econ\xf3mica', u'Servicios/productos nuevos o mejorados', u'Crecimiento de empleo', u'Crecimiento de las ganancias', u'Identificaci\xf3n de nuevas oportunidades', u'Nuevas / mejoradas Investigaciones']","La empresa generó ingresos netos de 30,000 millones de dólares para el año fiscal terminado el 31 de agosto de 2014.",2015-01-22 16:48:59.949203
agencia-de-estadstica-de-mercados-sc-aem,Agencia de Estadística de Mercados S.C. (AEM),http://www.aemresearch.com/,1998,Ciudad Juárez,CH,mx,32410,NA,Privada,Investigación y Consultoría,"Análisis de datos, Consultoría, Contratos gubernamentales, Generación de clientes, Investigación cuantitativa y cualitativa, generación de información.","Empresa a Empresa, Empresa a Consumidor, Empresa a Gobierno","Acceso a la salud, Acceso a la vivienda, Acceso financiero, Acceso y suministro de alimentos, Empoderamiento al consumidor, Medio ambiente y cambio climático, Oportunidades educacionales, Participación ciudadana, Seguridad pública, ","Somos una empresa profesional cuya misón es la investigación, es decir, la generación y análisis de información para la toma de decisiones de individuos, empresas (con o sin fines de lucro) y gobiernos.","Somos una empresa de investigación, integrada por economistas y con cobertura en la zona norte del país (6 estados). ",101+,"Agricultura y Alimentación, Ciencia e investigación, Clima, Consumidor, Demografía y Población, Desarrollo internacional, Economía, Educación, Empresas, Energía, Finanzas, Legal, Manufactura, Mapeo/Geoespacial, Medio Ambiente, Operaciones gubernamentales, Salud, Seguridad pública, Transporte, Turismo, Vivienda","1. Peritajes económicos para defensas de amparos contra actos del gobierno.
2. Estadísticas para estudios de mercado, factibilidad, etc.
3. Validación de datos oficiales 
4. Generación de indicadores e índices.
5. Analisis espacial
6. Programas püblicos y sociales
7. Evaluación de proyectos y evaluación social de proyectos.

Entre otros.
","[u'Eficiencia econ\xf3mica', u'Servicios/productos nuevos o mejorados', u'Crecimiento de empleo', u'Crecimiento de las ganancias', u'Identificaci\xf3n de nuevas oportunidades', u'Nuevas / mejoradas Investigaciones']",,2014-10-01 10:10:11.008063
agroclima,Agroclima,http://www.agroclima.com.mx/,2000,Aguascalientes,AS,mx,20127,1-10,Privada,Seguros,"Análisis de datos, Consultoría, Suscripciones",Empresa a Empresa,"Medio ambiente y cambio climático, seguro agropecuario","Apoya en la toma de decisiones de Protección Agropecuaria Compañía de Seguros, desarrollando herramientas técnico científicas para el diagnóstico y pronóstico del clima y su asociación con las actividades del seguro agrícola en México y países donde PROAGRO opere.

Desarrollo continuo de nuevos productos meteorológicos y climatológicos que sirvan de apoyo a la toma de decisiones sobre la operación del seguro agropecuario (cultivos, pastos, ganado y cría de especies del mar para consumo humano).","Agroclima Informática Avanzada genera servicios exclusivos a PROAGRO, Protección Agropecuaria Compañía de Seguros.",1-10,"Agricultura y Alimentación, Ciencia e investigación, Clima, Economía, Mapeo/Geoespacial, Medio Ambiente","El Sistema de Información Agropecuaria® (SIA) es un programa computacional que contiene las bases de datos de los principales cultivos de la agricultura nacional, diseñado para facilitar la toma de decisiones de empresas e instituciones del país orientadas al sector agroalimentario, con información proveniente de instituciones oficiales, asociaciones de productores, empresas comercializadoras, etc.

Agroclima no es fuente de datos básicos de meteorología y climatología, pero puede apoyar en compartir y asesorar para su uso, datos públicos del Servicio Meteorológico Nacional y de instituciones como NCEP, NOAA de los EUA.
Incluyendo datos provenientes de mediciones directas, indirectas y obtenidas por modelos atmosféricos, marinos, etc.","[u'Servicios/productos nuevos o mejorados', u'Crecimiento de las ganancias', u'Nuevas / mejoradas Investigaciones']","AGROCLIMA apoya en el área técnica asociados a la operación del Seguro Agropecuario en México y Centroamerica. Ofrece para usuarios externos ayuda para procesar datos de uso público, de fuentes nacionales y extranjeras. Datos de observaciones directas, estimadas por satélite y las obtenidas por modelos atmosféricos de pronóstico y diagnóstico del tiempo y clima.",2015-02-19 13:49:05.323841
akko-group,Akko Group,http://www.akko-group.com/,2014,"México, D.F.",DF,mx,00000,11-50,Pública,Vivienda/Bienes Raíces,Comisiones sobre ventas,"Empresa a Empresa, Empresa a Consumidor",,"MISION Ofrecer servicios de investigacion y consultoria en temas de desarrollo urbano e inmobiliario para brindar escenarios certeros de potencial de desarrollo y estrategias con certidumbre para proyectos de inversion.

Nuestra experiencia abarca proyectos de multiples escalas y complejidad como puede ser el desarrollo de productos inmobiliarios especificos de vivienda, corporativo o comercial; hasta proyectos de desarrollo regional; participado en asociaciones de la iniciativa privada con el sector publico. ","Nuestra compañia se caracteriza por la integracion de 3 componentes fundamentales que garantizan nuestros resultados: investigacion, pragmatismo y estrategias de inteligencia.",51-100,"Consumidor, Demografía y Población, Economía, Empresas, Mapeo/Geoespacial, Medio Ambiente, Salud, Transporte, Vivienda","Algunos de los productos que desarrollamos con el uso de datos abiertos son:
Estudios de Mercado inmobiliario para desarrollos habitacionales, comerciales y coorporativos.
Determinacion del potencial de desarrollo de propiedades especificas.
Proyecciones de variables estadisticas, geograficas, demograficas y economicas.
","[u'Eficiencia econ\xf3mica', u'Servicios/productos nuevos o mejorados', u'Crecimiento de empleo', u'Crecimiento de las ganancias', u'Identificaci\xf3n de nuevas oportunidades']","Experiencia:
Venta del 30% de la Torre mayor de la Ciudad de Mexico cuya transaccion supero los 105 millones de USD.
Contamos con una oficina asociada en la ciudad de Miami.
",2015-01-22 15:54:19.149016
alternativas-y-capacidades,Alternativas y Capacidades,http://www.alternativasycapacidades.org/,2002,"México, D.F.",DF,mx,10400,11-50,Sin Fines de Lucro,Servicios Empresariales,"Consultoría, Contribuciones/Donaciones, Filantropía","Empresa a Empresa, Empresa a Gobierno","Participación ciudadana, transparencia e inversión social estratégica","Alternativas y Capacidades es una organización con la misión de contribuir al desarrollo social fortaleciendo a las Organizaciones de la Sociedad Civil (OSCs) y la inversión social, trabajando por un entorno propicio para su profesionalización, fomentando sus capacidades de incidencia en lo público, facilitando sus procesos de transparencia y  promoviendo la colaboración entre sectores. Las áreas en las que Alternativas trabaja son : Incidencia en políticas públicas, Fomento a las Organizaciones de la Sociedad Civil y Fortalecimiento de donantes (Inversión Social).",Alternativas y Capacidades es una organización fortalecedora de otras organizaciones de la sociedad civil en México. ,1-10,Organizaciones sin fines de lucro,"Alternativas y el Proyecto sobre Filantropía y Sociedad Civil del ITAM creyó el portal Fondos a la Vista, como un espacio donde pudieran encontrarse de manera gratuita y de fácil acceso los datos públicos de todas las OSC en el país que son donatarias autorizadas y/o se encuentran inscritos en el Registro Federal de las OSC y que, por lo tanto, cuentan con su Clave Única de Inscripción al Registro (CLUNI) otorgada por el Instituto Nacional de Desarrollo Social (INDESOL).

Fondos a la Vista es hoy un espacio que permite mapear donantes y donde pueden realizarse acciones de articulación entre OSCs. En el portal se puede acceder a información relevante para el fortalecimiento, tales como convocatorias y eventos; y sobre todo, puede consultarse información pública de más de 27,900 organizaciones. 

Actualmente permite realizar análisis comparativos, conocer donantes regionales, conocer grupos de organizaciones o acceder a los datos de una OSC en particular y de sus donativos.",[u'Nuevas / mejoradas Investigaciones'],"El portal Fondos a la Vista se lanzó en enero del 2013 en alianza con el Foundation Center y Microsoft México, y con financiamiento proveniente de Fundación Alfredo Harp-Helú, Fundación Rosario Campos de Fernández, FUNDEMEX, Montepío Luz Saviñón, The W.K. Kellogg Foundation, y U.S.-Mexico Foundation. Surge para promover la confianza en las organizaciones de la sociedad civil a través de transparentar su información financiera y de contacto, y facilitar el acceso a la misma. Este es un portal público, gratuito y de fácil uso disponible en www.fondosalavista.mx
",2015-02-11 21:59:24.749803
amai,AMAI,www.amai.org,1992,"México, D.F.",DF,mx,11570,"5,001-10,000",Asociación,Investigación y Consultoría,,"Empresa a Empresa, Empresa a Consumidor, Empresa a Gobierno",,"La AMAI es la única asociación profesional en Latinoamérica enfocada al sector de inteligencia aplicada a negocios y asuntos sociales. Fundada en 1992, la AMAI surgió originalmente para ser el centro institucional de la comunidad mexicana de investigación de mercados, opinión y comunicación; ahora engloba a toda la industria de generación y transformación de datos para la toma de decisiones.

Su propósito fundamental es consolidarse como el organismo de referencia de la cadena productiva dinámica y creciente, que engloba a empresas distintas que ofrecen en México inteligencia aplicada e información para la toma de decisiones. 
La AMAI busca ser un espacio para promover y nutrir la “cultura de la evidencia”, es 
decir la muy sana práctica de que las opiniones y las decisiones se respalden con hechos reales, no solamente a partir de intuiciones, por muy buenas que éstas sean. Tal “cultura de la evidencia” es un impulso valioso para que líderes y tomadores de decisiones se hayan acostumbrado a constatar los indicadores de lo que hace, dice, piensa y siente la gente; puesto que solamente así es posible generar propuestas que tengan sentido y éxito para el cuerpo social de nuestras ciudades y nuestro país en su conjunto.
",Agrupación independiente de organizaciones que realizan distintas fases del proceso de generación y transformación de datos para tomar decisiones en ámbitos sociales o de negocios.,101+,"Consumidor, Demografía y Población, Economía, Empresas, Finanzas, Legal, Mapeo/Geoespacial, Operaciones gubernamentales, Seguridad pública, Turismo, Vivienda","Emiten muchos estudios y ofrecen servicios de consultoría a base de análisis realizado con muchas fuentes de datos públicos gubernamentales. 

Utilizan datos del INEGI (encuesta gasto-ingreso ENIGH) para hacer comparaciones con su índice de Nivel Socioeconómico y confirmar su confiabilidad; ej: http://www.amai.org/NSE/NivelSocioeconomicoAMAI.pdf

También realizan capacitaciones en donde dan a conocer ""las fuentes de información pública generada en censos, encuestas y estudios continuos de mayor relevancia para la investigación de mercados"" para que sus clientes aprenden de ""una forma de ordenar, sistematizar y explotar los datos (propios y oficiales) en un sistema de información geográfica"" Estos talleres se dirigen a ""Profesionales de investigación de mercado"" y otras personas.

Ver reportes y artículos: http://www.amai.org/articulos/index.php
","[u'Identificaci\xf3n de nuevas oportunidades', u'Nuevas / mejoradas Investigaciones']",,2015-01-16 11:23:22.980034
amk-technologies,AMK Technologies,www.amk-technologies.com,2012,México,DF,mx,03200,11-50,Privada,Tecnología/Datos,"Consultoría, Licencias de software","Empresa a Empresa, Empresa a Gobierno",,Empresa 100% Mexicana que desarrolla soluciones software de innovación tecnológica empresarial.,"Nos encargamos del análisis, diseño, construcción, calidad, implementación y soporte tecnológico.",1-10,"Ciencia e investigación, Consumidor, Empresas, Finanzas","Tendencias de uso de herramientas tecnológicas:

Internet
Canales Móviles
Mensajería

Entre otros:
Giros y comportamiento comercial de empresas y empresarios
Productos Financieros
Información relevante para toma de decisiones en diferente ambitos

Utilizamos el Directorio Estadístico Nacional de Unidades Económicas: http://www3.inegi.org.mx/sistemas/mapa/denue/default.aspx

Los utilizamos para dos temas:

1. Calificar las empresas que pudieran interesarse en nuestros servicios
2. Para una red de empresas que estamos desarrollando: http://www.bizonnett.com/

Un punto importante que pensamos aplicar a este tipo de información son prácticas de arquitectura Big Data, para integrar diferentes repositorios de datos.","[u'Servicios/productos nuevos o mejorados', u'Identificaci\xf3n de nuevas oportunidades']","AMK Technologies fue fundada en 2012, en 2013 tuvo ingreso de socios que impulsaron su crecimiento, reportando un promedio de 40% de crecimiento anual cumplido y proyectado al mediano plazo.

Cuenta con soluciones tecnológicas en las cuales ha invertido y se encuentra comercializando a partir de 2015. De igual manera ha iniciado operaciones con corporativos AAA.",2015-02-04 14:51:33.566081
antad,ANTAD,http://www.antad.net/,,"México, D.F.",DF,mx,11510,,,Servicios Empresariales,"Cuotas de membresía, Suscripciones","Empresa a Empresa, Empresa a Gobierno",,"ANTAD ofrece productos y servicios para apoyar el Desarrollo del Comercio Detallista como son:
Indicadores Económicos, de Operación Comercial y Recursos Humanos; Capacitación a nivel Ejecutivo y Operativo; Interacción con proveeduría a través de su evento Expo ANTAD; Información relacionada al comercio detallista y su medio ambiente externo por conducto de la revista Al Detalle y la página web; Intermediación con el sector Gubernamental ; Antad TV; Antad Radio","Asociación Nacional de Tiendas de Autoservicio y Departamentales, A. C (ANTAD) ofrece productos y servicios para apoyar el Desarrollo del Comercio Detallista.",,"Agricultura y Alimentación, Consumidor, Economía, Empresas, Energía","http://www.antad.net/index.php/indicadores/informacion-inegi

http://www.walmartmexicoycam.com/sala_de_prensa/operadoras/walmartca/2013/agosto/semana-emprendedor-ANTAD.html",[u'Nuevas / mejoradas Investigaciones'],"Produce análisis, indicadores, estudios, publicaciones, etc. acerca de diferentes temas que afectan al sector comercial para el público, además de servicios especializados para sus miembros, utilizando datos públicos del gobierno, particularmente del INEGI.  ",2015-01-30 19:36:55.264535
