company_name_id,company_name,url,city,state,zip_code,ceo_first_name,ceo_last_name,year_founded,full_time_employees,company_type,company_category,revenue_source,description,description_short,financial_info,sourceCount
3-Round-Stones-Inc,"3 Round Stones, Inc.",3RoundStones.com,Washington,DC,20004,Bernadette,Hyland,2010,4,Private,Data/Technology,"Data Management and Analytic Services, Subscriptions","3 Round Stones produces a platform for publishing data on the Web. 3 Round Stones provides commercial support for the Callimachus Data Platform, used by the Fortune 2000 and US Government Agencies publishing and consuming data.  Headquartered in Arlington, Virginia, we're seasoned entrepreneurs who are passionate about solving real world problems through open data and open Web standards.","Our Open Source platform is used by the Fortune2000 and US Government Agencies to collect, publish and reuse data, both public and proprietary.","3 Round Stones is a profitable, self-funded, woman-owned start-up.  Our team has several successful serial entrepreneurs.  As entrepreneurs, we've benefited from the valuable guidance by seasoned advisers and mentors in the mid-Atlantic region who have guided our team through multiple start-ups, outside funding and an acquisition by a Fortune 100 company in 2005.",NA
5Psolutions,5PSolutions,www.5psolutions.com,Fairfax,VA,22003,Harjit,Singh,2007,2,Private,Data/Technology,"Subscriptions, User Fees for Web or Mobile Access","At 5PSolutions, we wish to make all basic information of different categories easily available to via tablets or phones.",5PSolutions are artisans of mobile platforms.,,NA
Abt-Associates,Abt Associates,abtassoc.com,Cambridge,MA,02138,Kathleen,Flanagan,1965,2500,Private,Research & Consulting,Data Management and Analytic Services,"Abt Associates is a mission-driven, international company conducting research and program implementation in the fields of health, social and environmental policy, and international development. The company has multiple offices in the U.S. and program offices in more than 40 countries.","Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.",Employee-owned company. $552M/year.,100+
Accela,Accela,http://www.accela.com,San Ramon,CA,94583,,,1999,0,Private,Governance,Not reported by company,"Accela powers thousands of services and millions of transactions for more than 500 public agencies worldwide, enabling governments to connect with citizens and streamline processes related to land management, asset management, licensing, and public health & safety. Accela addresses a broad range of agency, business and citizen needs, and includes built-in payment, scheduling, compliance and information transparency. Together with our partners, Accela can custom-tailor solutions based on precise agency specifications, or deploy packaged solutions based on best practice templates and pre-defined services in a matter of a few weeks.","Accela improves citizen engagement by making it easier to do government business, driving civic innovation and improving transparency, accuracy and accountability.",,100+
Accelrys,Accelrys,http://accelrys.com,San Diego,CA,92121,,,2001,0,Public,Scientific Research,Not reported by company,"Accelrys is a leading provider of scientific innovation lifecycle management software and services. By bridging the productivity gap between innovation and commercialization, scientific innovation lifecycle management (SILM) streamlines product development, speeds time-to-market and improves competitiveness for science-driven organizations in the pharmaceutical, biotechnology, chemical, energy, aerospace, consumer packaged goods and industrial products industries, as well as in government and academia.","Accelrys enables innovators to organize and share data with the goal of improving productivity and compliance, reducing costs and speeding time from lab to market.",,100+
Accenture,Accenture,http://www.accenture.com/us-en/pages/index.aspx,Phoenix,AZ,85018,,,1989,275000,Private,Data/Technology,Not reported by company,"Accenture delivers its services and solutions through 19 focused industry groups in five operating groups. This industry focus provides Accenture’s professionals with a thorough understanding of industry evolution, business issues and applicable technologies, enabling Accenture to deliver solutions tailored to each client's industry.","Accenture provides management consulting, technology and outsourcing services.",,NA
Accuweather,AccuWeather,http://www.accuweather.com,State College,PA,16801,,,1962,404,Private,Environment & Weather,Subscriptions,"We provide local forecasts for everywhere in the United States and over two million locations worldwide. We also provide our products and services to more than 175,000 paying customers in media, business, government and institutions. Our headquarters in State College, PA, is home to the greatest number of forecast meteorologists in one location anywhere in the world.","AccuWeather describes its mission as helping to save lives, protect property, and helping people to prosper through weather information.",,NA
Acxiom,Acxiom,http://acxiom.com,Little Rock,AR,72201,,,1969,0,Public,Data/Technology,Not reported by company,"Acxiom is an enterprise data, analytics and software as a service company. For more than 40 years, Acxiom has harnessed the powerful potential of data to strengthen connections between people, businesses and their partners.","Acxiom is an enterprise data, analytics and software-as-a-service company,  using data to connect people, businesses and their partners.",,100+
Adaptive,Adaptive,http://www.adaptive.com,Irvine,CA,92618,,,2001,0,Private,Business & Legal Services,Not reported by company,"Adaptive offers standards-based solutions that help organizations better align their valuable information by supporting specific management challenges including Data Governance, Data Quality, Metadata Management, Enterprise Architecture Management and IT Portfolio Management.","Adaptive helps organizations leverage what they have by providing a knowledge management asset that facilitates reuse, analytics and compliance throughout the organization.",,NA
Adobe-Digital-Government,Adobe Digital Government,http://www.adobe.com,San Jose,CA,95510,,,2009,0,Public,Data/Technology,Not reported by company,"Adobe Digital Government is part of Adobe Systems, a global digital marketing and digital media solutions company. Adobe's tools and services allow customers to create digital content, deploy it across media and devices, measure and optimize it over time. 

<p>Adobe Digital Government delivers solutions that help government agencies make, manage, mobilize, and measure the information and experiences needed to achieve their missions. Adobe Digital Government provides solutions for content creation and management, more secure business workflows, easy-to-develop forms, robust analytics, or intuitive collaboration and eLearning.</p>","Adobe delivers solutions that help government agencies make, manage, mobilize, and measure the information and experiences needed to achieve their missions.",,100+
Aidin,Aidin,http://www.myAidin.com,New York,NY,10013,Russell,Graney,2011,4,Private,Healthcare,Not reported by company,"Aidin helps hospitals and their patients choose the highest quality post-acute care available to them. By streamlining hospital staff's search process for available post-acute care and tracking and sharing with patients how well providers have performed with similar patients in the past, Aidin helps hospitals reduce length of stay and prevent costly and dangerous readmissions from post-acute care.","Aidin helps hospitals discharge their patients to the best available nursing homes, home health agencies, and other post-acute care providers.",,1-10
Alarmcom,Alarm.com,www.alarm.com,,VA,,,,2000,0,Private,Lifestyle & Consumer,,"Alarm.com is a technology provider of connected home services, powering well over one million residential and commercial installations. Through its connected home platform, millions of people use Alarm.com to help protect and manage the things that matter most – their homes, families, and small businesses. Alarm.com connects a wide range of supported devices across the internet of things to provide an integrated connected home experience through an intelligent cloud-based services platform and easy to use mobile app. Alarm.com solutions are sold exclusively through a network of licensed and authorized Dealer Partners.","Alarm.com is a technology provider of connected home services, powering well over one million residential and commercial installations.",,NA
Allianz,Allianz,http://www.allianzusa.com,New York,NY,10019,,,1896,0,Public,Finance & Investment,Not reported by company,"Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.","Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.",,NA
Allied-Van-Lines,Allied Van Lines,http://www.allied.com,Westmont,IL,60559,,,1928,0,Private,Transportation,Not reported by company,"Allied Van Lines is a global relocation company, serving individuals and corporations all over the world for their transportation and storage needs.","As part of Allied's moving services, the company offers customized solutions for  local, interstate and international moves.",,NA
Allstate-Insurance-Group,AllState Insurance Group,http://www.allstate.com,Northbrook,IL,60062,,,1931,0,Public,Insurance,Not reported by company,"The Allstate Corporation is a holding company for Allstate Insurance Company. The company’s business is conducted principally through Allstate Insurance Company, Allstate Life Insurance Company and their affiliates. It is engaged, principally in the United States, in the property-liability insurance, life insurance, retirement and investment product business. 

<p>Allstate's primary business is the sale of private passenger auto and homeowners insurance. The Company also sells several other personal property and casualty insurance products, select commercial property and casualty coverages, life insurance, annuities, voluntary accident and health insurance and funding agreements. Allstate primarily distributes its products through exclusive agencies, financial specialists. Allstate has four business segments: Allstate Protection, Allstate Financial, Discontinued Lines and Coverages and Corporate and Other. The Company is a personal lines insurer in the United States.</p>","The Allstate Corporation is the largest publicly held personal, property and casualty insurer in America.",,NA
Alltuition,Alltuition,https://www.alltuition.com,Chicago,IL,60611,,,2009,10,Private,Education,Not reported by company,"Alltuition.com makes sure you don’t miss out on financial aid. Based on the colleges where you're applying for aid, we instantly match you to your opportunities and help you maximize your chances for aid.",Alltuition enables high school students and their families to manage the financial aid process from start to finish.,,NA
Altova,Altova,http://www.altova.com,Beverly,MA,01915,,,1992,0,Private,Data/Technology,Not reported by company,"At Altova, our mission is to deliver standards-based, platform-independent software development tools that empower our customers to create, access, edit and transform information resources. Altova is the creator of XMLSpy® and other award-winning XML, SQL, and UML tools.","Altova is a software company specializing in tools to assist developers with data management, software and application development, and data integration.",,NA
Amazon-Web-Services,Amazon Web Services,http://aws.amazon.com,Seattle,WA,98109,,,2007,0,Public,Data/Technology,Not reported by company,"<p>Amazon Web Services offers a broad set of global compute, storage, database, analytics, application, and deployment services that help organizations move faster, lower IT costs, and scale applications. These services are trusted by the largest enterprises and the hottest start-ups to power a wide variety of workloads including: web and mobile applications, data processing and warehousing, storage, archive, and many others.</p>

<p>Amazon Web Services‚Äô (AWS) Worldwide Public Sector is helping government and education customers employ cloud services to reduce costs, drive efficiencies, and increase innovation across the globe. With AWS, you only pay for what you use, with no up-front physical infrastructure expenses or long-term commitments. Public Sector organizations of all sizes use AWS to build applications, host websites, harness big data, store information, conduct research, improve online access for citizens, and more.</p>",Amazon provides cloud computing services through Amazon Web Services to a range of clients.,,100+
American-Red-Ball-Movers,American Red Ball Movers,http://www.redball.com,Indianapolis,IN,46239,,,1919,0,Private,Transportation,Not reported by company,American Red Ball Movers is a major long distance moving company in the US that serves families and businesses.,Red Ball is a long distance and corporate relocation moving company that serves families and businesses.,,NA
Amida-Technology-Solutions,Amida Technology Solutions,http://amida-tech.com/index.html,Washington,DC,20036,Peter,Levin,2013,5,Private,Healthcare,Not reported by company,"Amida develops patient-centered solutions based on the Blue Button personal health record (PHR). The Amida Personal Health Information Exchange solution allows enterprises to offer capabilities that place the patient at the center of their health data. It enables two-way communication between patients and primary care physicians, pharmacies, labs, and specialty care providers. This means that patients, for the first time, will have a coherent view of all their health information.","Amida develops patient-centered solutions based on the Blue Button personal health record (PHR), the most popular PHR in the country.",,NA
Analytica,Analytica,http://www.analytica.net/,Washington DC,DC,20005,,,2007,0,Private,Data/Technology,"Data Management and Analytic Services, Software Licensing, Information Brokering","<p>Analytica is a leading-edge consulting and IT firm that provides solutions to managing, analyzing, leveraging and protecting information.  The company supports prominent US Public Sector (Federal, State, and Local agencies) and commercial organizations with innovative, value driven solutions supporting national security, law enforcement, health care, and financial services.</p>

<p>Analytica is an SBA certified HUBZone, small business and it has been recognized each of the past three years as a fast growing and “Top 50” small businesses.</p>","Analytica assists public sector organizations to identify, leverage, analyze and manage information.","Analytica is a self-funded, private company.  Driven by customer demand in assisting with managing, leveraging, and analyzing public sector information, the company has experienced exponential growth over the past five years and generated over $15.0 MM in revenue in 2013.",1-10
