abbrev,state,value
AL,Alabama,0
AK,Alaska,0
AZ,Arizona,4
AR,Arkansas,1
CA,California,135
CO,Colorado,11
CT,Connecticut,10
DE,Delaware,0
DC,District of Columbia,24
FL,Florida,6
GA,Georgia,7
HI,Hawaii,0
ID,Idaho,0
IL,Illinois,19
IN,Indiana,7
IA,Iowa,1
KA,Kansas,0
KY,Kentucky,2
LA,Louisiana,0
ME,Maine,1
MD,Maryland,13
MA,Massachusetts,42
MI,Michigan,4
MN,Minnesota,4
MS,Mississippi,0
MO,Missouri,5
MT,Montana,0
NE,Nebraska,1
NV,Nevada,1
NH,New Hampshire,1
NJ,New Jersey,10
NM,New Mexico,0
NY,New York,90
NC,North Carolina,2
ND,North Dakota,0
OH,Ohio,7
OK,Oklahoma,1
OR,Oregon,1
PA,Pennsylvania,10
PR,Puerto Rico,0
RI,Rhode Island,1
SC,South Carolina,0
SD,South Dakota,0
TN,Tennessee,3
TX,Texas,15
UT,Utah,2
VT,Vermont,0
VA,Virginia,17
WA,Washington,20
WV,West Virginia,0
WI,Wisconsin,4
WY,Wyoming,0
